"Example: <b>https://www.paypal.com/au/cgi-bin/webscr?cmd=_express-checkout&useraction=<user_action>&amp;token=</b> Where &lt;user_action&gt; is 'commit' or 'continue', depending on your preference of commit button text.","Example: <b>https://www.paypal.com/au/cgi-bin/webscr?cmd=_express-checkout&useraction=<user_action>&amp;token=</b> Where &lt;user_action&gt; is 'commit' or 'continue', depending on your preference of commit button text."
"API Password","API Κωδικός"
"API Signature","API Υπογραφή"
"API User Name","API Όνομα Χρήστη"
"Amex","Amex"
"Authorization","Έγκριση"
"Authorize and Capture","Έγκριση και Σύλληψη"
"Billing Information","Στοιχεία Χρέωσης"
"Business Account","Λογαριασμός Επιχείρησης"
"Business Name","Όνομα Επιχείρισης"
"Card Verification Number","Αριθμός Επιβεβαίωσης Κάρτας"
"Change Payment Method","Αλλαγή Μεθόδου Πληρωμής"
"Change Shipping Address","Αλλαγή Διεύθυνσης Αποστολής"
"Credit Card Number","Αριθμός Πιστωτικής Κάρτας"
"Credit Card Number: xxxx-%s","Αριθμός Πιστωτικής Κάρτας r: xxxx-%s"
"Credit Card Type","Τύπος Πιστωτικής Κάρτας"
"Credit Card Type: %s","Τύπος Πιστωτικής Κάρτας: %s"
"Credit Card Types","Τύποι Πιστωτικών Καρτών"
"Customer returned from PayPal site.","Customer returned from PayPal site."
"Debug Flag","Αποσφαλμάτωση Flag"
"Discover","Ανακάλυψη"
"Edit Shopping Cart","Επεξεργασία Καλαθιού Αγορών"
"Enabled","Ενεργοποιημένο"
"Error in creating an invoice","Σφάλμα κατα τη δημιουργία τιμολογίου"
"Error in refunding the payment","Σφαλμα κατά την επιστροφή χρημάτων"
"Expiration Date","Ημ/νία λήξης"
"Expiration Date: %s/%s","Ημ/νία λήξης: %s/%s"
"Incl. Tax","Incl. Tax"
"Invalid transaction id","Άκυρο id συναλλαγής"
"Invoice #%s created","Invoice #%s created"
"Issue Number","Αριθμός Έκδοσης"
"Items in Your Shopping Cart","Προϊόντα στο Καλάθι σας"
"MasterCard","MasterCard"
"Maximum image size is 750x90 px.","Maximum image size is 750x90 px."
"N/A","Μη διαθέσιμο"
"Name on Card","Όνομα στην Κάρτα"
"Name on the Card: %s","Όνομα στην Κάρτα: %s"
"New order status","Κατάσταση Νέας Παραγγελίας"
"No shipping method required.","No shipping method required."
"Order","Παραγγελία"
"Order total amount does not match paypal gross total amount","Το συνολικό ποσό της παραγγελίας δε ταιριάζει με το καθαρό συνολικό ποσό του paypal"
"Page Style","Page Style"
"PayPal Accounts","Λογαριασμοί PayPal"
"PayPal Email","PayPal Email"
"PayPal Express Checkout","PayPal Express Checkout"
"PayPal Uk Account","PayPal Uk Account"
"PayPal Website Payments Pro - Direct Payments","PayPal Website Payments Pro - Direct Payments"
"PayPal Website Payments Standard","PayPal Website Payments Standard"
"Payment Action","Ενέργεια Πληρωμής"
"Payment Method","Μέθοδος Πληρωμής"
"Payment from Specific countries","Πληρωμή από συγκεκριμένες χώρες"
"Payment from applicable countries","Πληρωμή από εφαρμόσιμες χώρες"
"Paypal Checkout","Ολοκλήρωση Αγορών Paypal"
"Paypal IPN Invalid %s.","Paypal IPN Invalid %s."
"Paypal Logo Image URL","Paypal Logo Image URL"
"Paypal URL","Paypal URL"
"Place an Order","Κάντε μια Παραγγελία"
"Please select a shipping method...","Παρακαλούμε επιλέξτε μια μέθοδο αποστολής..."
"Please select a valid shipping method","Παρακαλούμε επιλέξτε μια έγκυρη μέθοδο αποστολής"
"Price","Τιμή"
"Problem during communication with PayPal","Πρόβλημα επικοινωνίας με το PayPal"
"Product Name","Όνομα Προϊόντος"
"Proxy Host","Proxy Host"
"Proxy Port","Θύρα Proxy"
"Qty","Ποσ."
"Received IPN verification","Επιβεβαίωση IPN ελήφθη"
"Review Order","Ανασκόπηση Παραγγελίας"
"Sale","Πωλήσεις"
"Sandbox Flag","Sandbox Flag"
"Selected currency code (","Επιλεγμένος κωδικός νομίσματος("
"Shipping Address","Διεύθυνση Αποστολής"
"Shipping Information","Στοιχεία Αποστολής"
"Shipping Method","Μέθοδος Αποστολής"
"Sorry, no quotes are available for this order at this time.","Συγγνώμη. Δεν υπάρχουν παραθέσεις για αυτό το προϊόν προς το παρόν."
"Sort order","Κανόνας Ταξινόμησης"
"Start Date","Ημ/νία Έναρξης"
"Submitting order information...","Υποβολή στοιχείων παραγγελίας..."
"Subtotal","Μερικό Σύνολο"
"Switch/Solo Only","Switch/Solo Μόνο"
"Switch/Solo card issue number: %s","Αριθμός έκδοσης Switch/Solo κάρτας: %s"
"Switch/Solo card start Date: %s/%s","Ημ/νία έναρξης Switch/Solo κάρτας: %s/%s"
"There has been an error processing your payment. Please try later or contact us for help.","Υπήρξε ένα σφάλμα κατά τη διάρκεια της επεξεργασίας της παραγγελίας σας. Παρακαλούμε προσπαθήστε ξανά αργότερα ή επικοινωνήστε μαζί μας για βοήθεια."
"There was an error connecting to the Paypal server: %s","Υπήρξε ένα σφάλμα κατά τη σύνδεση με το διακομιστή του Paypal: %s"
"There was an error during communication with Paypal: %s - %s","Υπήρξε ένα σφάλμα κατά τη διάρκεια της επικοινωνίας με το Paypal: %s - %s"
"Title","Τίτλος"
"Transaction Type","Τύπος Συναλλαγής"
"Type","Τύπος"
"Unknown PayPal API error: %s","Άγνωστο σφάλμα PayPal API: %s"
"Update Shipping Method","Ενημέρωση Μεθόδου Αποστολής"
"Use Proxy","Χρήση Proxy"
"Visa","Visa"
"Website Payments Pro and Express Checkout (API Signature)","Website Payments Pro and Express Checkout (API Signature)"
"Website Payments Standard","Website Payments Standard"
"What is this?","Τι είναι αυτό;"
"You will be redirected to Paypal in a few seconds.","You will be redirected to Paypal in a few seconds."
"Your billing address will be ignored and you will be redirected to PayPal UK website","Η διέυθυνση χρέωσης σας θα αγνοηθεί και θα ανακατευθυνθείτε στον ιστότοπο PayPal UK"
