"%1$s was successfully added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping","%1$s lisättiin onnistuneesti toivelistallesi. Klikkaa <a href=""%2$s"">tähän</a> jatkaaksesi ostosten tekemistä."
"%s's Wishlist","Asiakkaan %s toivelista"
"* Required Fields","* Vaaditut tiedot"
"Add All to Cart","Laita kaikki ostoskoriin"
"Add to Cart","Laita ostoskoriin"
"Add to Wishlist","Lisää toivelistaan"
"Added On","Lisätty"
"Are You sure?","Oletko varma?"
"Are you sure you want to remove this product from your wishlist?","Haluatko varmasti poistaa tämän tuotteen toivelistaltasi?"
"Are you sure you would like to remove this item from the wishlist?","Haluatko varmasti poistaa tämän tuotteen toivelistaltasi?"
"Back","Takaisin"
"Can't save description %s","Ei voida tallentaa kuvausta %s"
"Cannot create wishlist","Toivelistaa ei voida lukea"
"Cannot specify product","Tuotetta ei voida määrittää"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Laita rasti ruutuun jos haluat lisätä linkin toivelistasi RSS-syötteeseen."
"Comment","Kommentti"
"Email Sender","Sähköpostin lähettäjä"
"Email Template","Sähköpostin pohja"
"Email address can't be empty.","Sähköpostiosoite ei voi olla tyhjä"
"Email addresses, separated by commas","Sähköpostiosoitteet, erotettuna pilkuin"
"Enabled","Käytössä"
"General Options","Yleiset asetukset"
"Go to Wishlist","Mene toivelistaan"
"Last Added Items","Viimeksi lisätyt tuotteet"
"Message","Viesti"
"My Wishlist","Toivelista"
"My Wishlist (%d item)","Toivelistani (%d tuote)"
"My Wishlist (%d items)","Toivelistani (%d tuotetta)"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Anna toimiva sähköpostiosoite, eroteltuna pilkuin. Esimerkiksi mattimeikalainen@palvelin.fi, maijameikalainen@palvelin.fi."
"Please, enter your comments...","Lisää kommenttisi..."
"Product","Tuote"
"RSS Feed","RSS-syöte"
"RSS link to %s's wishlist","RSS-linkki asiakkaan %s toivelistaan"
"Remove Item","Poista tuote"
"Share Wishlist","Jaa toivelista"
"Share Your Wishlist","Jaa toivelistasi"
"Share options","Jakamisen asetukset"
"Sharing Information","Jakamisen tiedot"
"There was an error while adding item to wishlist.","Tuotteen lisäämisessä toivelistaan tapahtui virhe."
"There was an error while adding item to wishlist: %s","Tuotteen lisäämisessä toivelistaan tapahtui virhe: %s"
"There was an error while deleting item from wishlist.","Tuotteen poistamisessa toivelistalta tapahtui virhe."
"There was an error while deleting item from wishlist: %s","Tuotteen poistamisessa toivelistalta tapahtui virhe: %s"
"This product(s) is currently out of stock:","Tuote tai tuotteet ovat loppuneet varastosta:"
"Update Wishlist","Päivitä toivelista"
"View Product","Tarkastele tuotetta"
"Wishlist","Toivelista"
"Wishlist Section","Wishlist Section"
"Wishlist Sharing","Toivelistan jakamien"
"Wishlist is empty now.","Toivelista on tyhjä."
"You have no items in your wishlist.","Toivelistallasi ei ole tuotteita."
"You input not valid email address.","Antamasi sähköpostiosoite ei ole toiminnassa."
"Your Wishlist was successfully shared","Toivelistasi jaettiin onnistuneesti"
"My Wishlist - <a href=""%s"">%d Item(s)</a>","My Wishlist - <a href=""%s"">%d Item(s)</a>"
"My Wishlist","Toivelista"
"Are you sure you want to remove this product from your wishlist?","Are you sure you want to remove this product from your wishlist?"
"Please, enter your comments...","Please, enter your comments..."
