"%s was successfully added to your shopping cart.","%s προστέθηκε επιτυχώς στο καλάθι σας."
"&laquo; Back to Billing Information","&laquo; Επιστροφή, στα Στοιχεία Χρέωσης"
"&laquo; Back to Select Addresses","&laquo; Επιστροφή, στην Επιλογή Διευθύνσεων"
"&laquo; Back to Shopping Cart","&laquo; Επιστροφή στο Καλάθι"
"* Required Fields","* Υποχρεωτικά Πεδία"
"Add New Address","Προσθήκη Νέας Διεύθυνσης"
"Add New Condition","Add New Condition"
"Add to Cart","Αγορά"
"Add to Compare","Προσθήκη στη Σύγκριση"
"Add to Wishlist","Προσθήκη στα Επιθυμητά"
"Address","Διεύθυνση"
"Address %s of %s","Διεύθυνση %s του %s"
"After adding a product redirect to shopping cart","Μετά την προσθήκη προϊόντος να γίνεται ανακατεύθυνση στο Καλάθι"
"Allow Guest Checkout","Να Επιτρέπεται Αγορά από Επισκέπτες"
"Already registered?","Είστε ήδη εγγεγραμμένος;"
"An error occurred in the process of payment","An error occurred in the process of payment"
"Apply Coupon","Εφαρμογή Κουπονιού"
"Are you sure you would like to remove this item from the shopping cart?","Είστε βέβαιοι πως θέλετε να αφαιρέσετε αυτό το είδος από το Καλάθι;"
"Back","Πίσω"
"Back to Shipping Information","Επιστροφή στις Πληροφορίες Αποστολής"
"Based on your selection, you may be interested in the following items:","Με βάση την επιλογή σας, μπορεί να σας ενδιαφέρουν και τα ακόλουθα είδη:"
"Billing Address","Διεύθυνση Χρέωσης"
"Billing Information","Στοιχεία Χρέωσης"
"Billing Information - %s","Στοιχεία Χρέωσης - %s"
"Can not add item to shopping cart","Δεν είναι δυνατή η προσθήκη του προϊόντος στο Καλάθι"
"Can not apply coupon code.","Δεν είναι δυνατή η εφαρμογή του κωδικού Κουπονιού."
"Can't open overview page","Can't open overview page"
"Cancel Coupon","Ακύρωση Κουπονιού"
"Cannot remove item","Αδύνατη η αφαίρεση του προϊόντος"
"Cannot update shopping cart","Δεν είναι δυνατή η ενημέρωση του Καλαθιού"
"Card Verification Number Visual Reference","Card Verification Number Visual Reference"
"Cart Subtotal:","Μερικό Σύνολο Κάρτας:"
"Change","Change"
"Change Billing Address","Επεξεργασία"
"Checkbox text","Checkbox text"
"Checkout","Ολοκλήρωση Αγορών"
"Checkout Conditions","Checkout Conditions"
"Checkout Options","Επιλογές Ολοκλήρωσης Αγορών"
"Checkout Section","Checkout Section"
"Checkout Terms and Conditions","Checkout Terms and Conditions"
"Checkout as Guest","Ολοκλήρωση Αγορών ως Επισκέπτης"
"Checkout as a Guest or Register","Ολοκληρωστε τις Αγορες σας ως Επισκεπτης ή Εγγραφειτε"
"Checkout method","Μέθοδος Ολοκλήρωσης Αγορών"
"Checkout with Multiple Addresses","Ολοκλήρωση Αγορών με περισσότερες διευθύνσεις"
"City","Πόλη"
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation."
"Close","Κλείσιμο"
"Company","Εταιρεία"
"Condition Name","Condition Name"
"Condition was successfully deleted","Condition was successfully deleted"
"Condition was successfully saved","Condition was successfully saved"
"Configurable product image","Εικόνα Διαμορφώσιμου Προϊόντος"
"Confirm Password","Επιβεβαίωση Κωδικού"
"Content","Content"
"Content Height","Content Height"
"Content Height (css)","Content Height (css)"
"Continue","Συνέχεια"
"Continue Shopping","Συνέχεια Αγορών"
"Continue to Billing Information","Συνέχεια στις Πληροφορίες Χρέωσης"
"Continue to Review Your Order","Συνέχεια για Ανασκόπηση της Παραγγελίας σας"
"Continue to Shipping Information","Συνέχεια στα Στοιχεία Αποστολής"
"Country","Χώρα"
"Coupon code ""%s"" is not valid.","Ο κωδικός Κουπονιού ""%s"" δεν είναι έγκυρος."
"Coupon code ""%s"" was applied successfully.","Coupon code ""%s"" was applied successfully."
"Coupon code was canceled successfully.","Ο κωδικός κουπονιού ακυρώθηκε επιτυχώς."
"Create Billing Address","Δημιουργία Διεύθυνσης Χρέωσης"
"Create Shipping Address","Δημιουργία Διεύθυνσης Αποστολής"
"Customer Address is not valid.","Customer Address is not valid."
"Data saving problem","Πρόβλημα Αποθήκευσης Δεδομένων"
"Default Billing","Προκαθορισμένη Χρέωση"
"Default Shipping","Προκαθορισμένη Αποστολή"
"Delete Condition","Delete Condition"
"Details","Details"
"Disable Onepage Checkout","Disable Onepage Checkout"
"Disabled","Disabled"
"Discount Codes","Κωδικοί Έκπτωσης"
"Display Cart Summary","Εμφάνιση Περίληψης Καλαθιού"
"Display Shopping Cart Sidebar","Display Shopping Cart Sidebar"
"Display item quantities","Εμφάνιση Ποσότητας Προϊόντων"
"Display number of items in cart","Εμφάνιση Αριθμών Προϊόντων στο Καλάθι"
"Easy access to your order history and status","Εύκολη πρόσβαση στη κατάσταση και στο ιστορικό των παραγγελιών σας"
"Edit","Επεξεργασία"
"Edit Address","Επεξεργασία Διεύθυνσης"
"Edit Billing Address","Επεξεργασία Διεύθυνσης Χρέωσης"
"Edit Items","Επεξεργασία Προϊόντος"
"Edit Shipping Address","Επεξεργασία Διεύθυνσης Αποστολής"
"Edit Terms and Conditions","Edit Terms and Conditions"
"Edit Your Cart","Επεξεργασία Καλαθιού"
"Email Address","Διεύθυνση email"
"Enable Terms and�Conditions","Enable Terms and�Conditions"
"Enabled","Enabled"
"Enter a New Address","Εισαγωγή Νέας Διεύθυνσης"
"Enter your coupon code if you have one.","Εισάγετε το κωδικό του κουπονιού σας εάν έχετε."
"Enter your destination to get a shipping estimate.","Εισάγετε τον προορισμό σας για να πάρετε μια εκτίμηση μεταφορικών."
"Error while deleting this condition. Please try again later.","Error while deleting this condition. Please try again later."
"Error while saving this condition. Please try again later.","Error while saving this condition. Please try again later."
"Estimate Shipping and Tax","Εκτιμηση Μεταφορικων και Φορων"
"Excl. Tax","Excl. Tax"
"Fast and easy check out","Γρήγορη και εύκολη ολοκλήρωση αγορών"
"Fax","Φαξ"
"Forgot an Item?","Ξεχάσατε ένα αντικείμενο;"
"Forgot your password?","Ξεχάσατε τον κωδικό;"
"Get a Quote","Πάρτε μια Εκτίμηση"
"Grand Total:","Γενικό Σύνολο:"
"Grouped product image","Εικόνα Ομαδοποιημένου Προϊόντος"
"HTML","HTML"
"ID","ID"
"Incl. Tax","Incl. Tax"
"Invalid data","Άκυρα δεδομένα"
"Invalid email address ""%s""","Invalid email address ""%s"""
"Invalid shipping method.","Άκυρη Μέθοδος Αποστολής."
"Items","Προϊόντα"
"Load customer quote error","Φόρτωση αναφοράς σφάλματος πελάτη"
"Loading next step...","Αναμονή για το επόμενο βήμα..."
"Login","Είσοδος"
"Manage Checkout Terms and Conditions","Manage Checkout Terms and Conditions"
"Maximum display Recently added item(s)","Maximum display Recently added item(s)"
