"Alert Email Sender","Αποστολέας Email Ειδοποίησης"
"Alert subscription was deleted successfully","Η συνδρομή ειδοποιήσης διαγράφηκε επιτυχώς"
"Alert subscription was saved successfully","Η συνδρομή ειδοποιήσης αποθηκεύτηκε επιτυχώς"
"Allow alert when product comes back in stock","Να επιτρέπεται ειδοποιήση όταν το προϊόν γίνει πάλι διαθέσιμο"
"Allow alert when product price changes","Να επιτρέπεται ειδοποιήση όταν αλλάξει η τιμή του προϊόντος "
"Click here not to receive alerts for this product","Κάντε κλικ εδώ αν δεν θέλετε να λαμβάνετε ειδοποιήσεις για αυτό το προϊόν"
"Error Email Recipient","Παραλήπτης Email Σφάλματος"
"Error Email Sender","Αποστολέας Email Σφάλματος"
"Error Email Template","Πρότυπο(Template) Email Σφάλματος"
"Frequency","Συχνότητα"
"Not enough parameters","Δεν υπάρχουν αρκετοί παράμετροι"
"Please try again later","Παρακαλούμε δοκιμάστε ξανα αργότερα"
"Price alert Email Template","Πρότυπο(Tempate) Email Ειδοποιήσης Τιμής"
"Price:","Τιμή:"
"Product Alerts","Ειδοποιήσεις Προϊόντων"
"Product Alerts Run Settings","Ρυθμίσεις Εκτέλεσης Ειδοποιήσεων Προϊόντων"
"Product alerts Cron error","Σφάλμα Cron Ειδοποιήσεων Προϊόντων"
"Product not found","Το προϊόν δε βρέθηκε"
"Product price alert","Ειδοποιήση τιμής προϊόντος"
"Product stock alert","Ειδοποιήση διαθεσιμότητας προϊόντος"
"Sign up for price alert","Εγγραφείτε για ειδοποιήσεις τιμών"
"Sign up to get notified when this product is back in stock","Εγγραφείτε για να ειδοποιηθείτε όταν το προϊόν είναι ξανα διαθέσιμο"
"Special price:","Ειδική τιμή:"
"Start Time","Ώρα Έναρξης"
"Stock alert Email Template","Πρότυπο(Template) Email ειδοποιήσης διαθεσιμότητας"
"Unsubscribe from all price alerts","Διαγραφείτε από όλες τις ειδοποιήσεις τιμών"
"Unsubscribe from all stock alerts","Διαγραφείτε από όλες τις ειδοποιήσεις διαθεσιμότητας"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","Λαμβάνετε αυτή την ειδοποιήση γιατί εγγραφτήκατε ώστε να ειδοποιήστε όταν τα παρακάτω προϊόντα γίνουν πάλι διαθέσιμα:"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","Λαμβάνετε αυτή την ειδοποιήση γιατί εγγραφτήκατε ώστε να ειδοποιήστε όταν αλλάζει η τιμή των παρακάτω προϊόντων:"
"You will no longer receive price alerts for this product","Δεν θα λαμβάνετε πλέον ειδοποιήσεις για τη τιμή αυτού του προϊόντος"
"You will no longer receive stock alerts","Δεν θα λαμβάνετε πλέον ειδοποιήσεις για τη διαθεσιμότητα"
"You will no longer receive stock alerts for this product","Δεν θα λαμβάνετε πλέον ειδοποιήσεις για τη διαθεσιμότητα αυτού του προϊόντος"
