"Alert Email Sender","Nadawca powiadomienia"
"Alert subscription was deleted successfully","Subskrypcja powiadomień została usunięta"
"Alert subscription was saved successfully","Subskrypcja powiadomienia została zapisana pomyślnie."
"Allow alert when product comes back in stock","Zazwól na powiadomienia o powrocie produktu do stany magazynowego"
"Allow alert when product price changes","Zazwól na powiadomienia o zmienach ceny produktu"
"Click here not to receive alerts for this product","Kliknij tutaj, aby nie otrzymywać powiadomień o tym produkcie"
"Error Email Recipient","Błąd e-mail: nieprawidłowy odbiorca"
"Error Email Sender","Błąd e-mail: nieprawidłowy nadawca"
"Error Email Template","Błąd w szablonie e-mail"
"Frequency","Częstotliwość"
"Not enough parameters","Niewystarczająca ilość parametrów"
"Please try again later","Spróbuj ponownie później"
"Price alert Email Template","Szablon powiadomień o cenie towaru"
"Price:","Cena:"
"Product Alerts","Alerty produktów"
"Product Alerts Run Settings","Ustawienia wysyłania powiadomień"
"Product alerts Cron error","Błąd zadania Cron powiadomień o produktach"
"Product not found","Produkt nie został znaleziony"
"Product price alert","Powiadomienie o cenie produktu"
"Product stock alert","Powiadomienie o dostępności produktu"
"Sign up for price alert","Zapisz się, aby otrzymywać powiadomienia o cenie"
"Sign up to get notified when this product is back in stock","Zapisz się, aby otrzymywać powiadomienia o pojawieniu się produktu na magazynie"
"Special price:","Cena promocyjna:"
"Start Time","Czas rozpoczęcia"
"Stock alert Email Template","Szablon powiadomień o dostępności towaru"
"Unsubscribe from all price alerts","Anuluj subskrypcje wszystkich powiadomień o cenach"
"Unsubscribe from all stock alerts","Anuluj subskrypcje wszystkich powiadomień o dostępności towaru"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","Otrzymujesz to powiadomienie, ponieważ subskrybujesz otrzymywanie informacji o ponownym pojawieniu się na magazynie następujących produktów:"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","Otrzymujesz to powiadomienie, ponieważ subskrybujesz otrzymywanie informacji o zmianach ceny następujących produktów:"
"You will no longer receive price alerts for this product","Nie otrzymasz już więcej powiadomień o cenie tego produktu"
"You will no longer receive stock alerts","Nie otrzymasz już więcej powiadomień o dostępności"
"You will no longer receive stock alerts for this product","Nie otrzymasz już więcej powiadomień o cenie tego produktu"
