"-- Please Select --","-- Prosím vyberte --"
"Account Registration","Registrace účtu"
"All fields of script types have to be filled.","Všechna pole skriptu musí být vyplněna."
"Attributes","Vlastnosti"
"Category View Optimization","Category View Optimization"
"Control Script","Kontrolní skript"
"Conversion Page","Konverzní stránka"
"Conversion Page URL","URL konverzní stránky"
"Conversion Script","Konverzní skript"
"Enable","Povolený"
"Google Optimizer Scripts","Skript Google Optimizer"
"Google Website Optimizer","Google Website Optimizer"
"Install Scripts","Instalační skript"
"Limit is 8 attributes only.","Limit je pouze 8 vlastností."
"Multi Address Checkout","Placení na více adres"
"One Page Checkout","Jednostránková platba"
"Order Success (Multi Address Checkout)","Objednávka dokončena (Platba na více adres)"
"Order Success (One Page Checkout)","Objednávka dokončena (Jednostránková platba)"
"Original Page","Původní stránka"
"Other","Ostatní"
"Page Type","Typ stránky"
"Page View Optimization","Zobrazit optimalizaci stránky"
"Please copy and paste this value to experiment edit form","Prosím zkopírujte a vložte tuto hodnotu do experimentálního pole ve formuláři"
"Please select store view to see the URL","Prosím vyberte pohled na obchod pro zobrazení URL"
"Product View Optimization","Zobrazit optimalizaci produktu"
"Scripts Install URL","Instalační url skriptu"
"Shopping Cart","Nákupní košík"
"Tracking Script","Sledovací skript"
"Use Default","Použít výchozí"
"Use Default Values","Použít výchozí hodnotu"
"Variant Page","Varianta stránek"
