"Billing Information","Billing Information"
"Change Payment Method","Spremeni naèin plaèevanja"
"Change Shipping Address","Spremeni naslov dostave"
"Edit Shopping Cart","Uredi nakupovalno košarico"
"Email","Email"
"Incl. Tax","Incl. Tax"
"Items in Your Shopping Cart","Artikli v vaši košarici"
"No shipping method required.","No shipping method required."
"PayPal Account","PayPal Raèun"
"PayPal Email","PayPal Email"
"Payment Method","Naèin plaèila"
"Place an Order","Place an Order"
"Please select a shipping method...","Prosim izberite naèin dostave..."
"Price","Cena"
"Product Name","Ime Artikla"
"Qty","Kolièina"
"Review Order","Review Order"
"Shipping Address","Naslov dostave"
"Shipping Information","Informacije o pošiljanju"
"Shipping Method","Naèin dostave"
"Sorry, no quotes are available for this order at this time.","Sorry, no quotes are available for this order at this time."
"Submitting order information...","Pošiljam informacije o naroèilu..."
"Subtotal","Skupaj za plaèilo"
"Update Shipping Method","Posodobi naèin pošiljanja"
"You will be redirected to PayPal website when you place an order.","You will be redirected to PayPal website when you place an order."
"You will be redirected to Paypal in a few seconds.","You will be redirected to Paypal in a few seconds."
"Your billing address will be ignored and you will be redirected to PayPal website","Your billing address will be ignored and you will be redirected to PayPal website"
