"Action","İşlem"
"Add Sitemap","Site Haritası Ekle"
"Always","Daima"
"CMS Pages Options","CMS Sayfa Ayarları"
"Categories Options","Kategori Seçenekleri"
"Daily","Günde Bir"
"Edit Sitemap","Site Haritası Düzenle"
"Enabled","Aktif"
"Error Email Recipient","Email Alıcısında Hata"
"Error Email Sender","Email Göndericisinde Hata"
"Error Email Template","Email Şablonuna Hata"
"File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server.","""%s"" adlı dosya kaydedilemedi. ""%s"" klasörünün web sunucusu tarafından yazılabilir olduğundan emin olunuz."
"Filename","Dosya Adı"
"Frequency","Aralık"
"Generate","Üret"
"Generation Settings","Üretme Ayarları"
"Google Sitemap","Google Site Haritası"
"Google Sitemap Section","Google Site Haritası Bölümü"
"Hourly","Saatte Bir"
"ID","No"
"Last Time Generated","Son Üretilme Tarihi"
"Link for Google","Google Bağlantısı"
"Monthly","Ayda Bir"
"Never","Hiç Bir Zaman"
"New Sitemap","Yeni Site Haritası"
"Path","Yol"
"Please create the specified folder ""%s"" before saving the sitemap.","Harita oluşturmadan önce ""%s"" klasörünü oluşturunuz."
"Please define correct path","Lütfen doğru klasörü belirtiniz"
"Please make sure that ""%s"" is writable by web-server.","""%s"" klasörünün web sunucusu tarafından yazılabilir olduğundan emin olunuz."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.","Dosya adlarında sadece harf (a-z or A-Z), rakam (0-9) veya alt çizgi (_) kullanınız. Boşluk veya başka karakterle kullanmayınız."
"Priority","Önem"
"Priority must be between 0 and 1","Önem değeri 0 ile 1 arasında olmalıdır"
"Products Options","Ürün Özellikleri"
"Sitemap","Site Haritası"
"Sitemap ""%s"" has been successfully generated","""%s"" adlı site haritası üretildi"
"Sitemap generate Warnings","Site Haritası üretim hataları"
"Sitemap was successfully deleted","Site Haritası silindi"
"Sitemap was successfully saved","Site Haritası kaydedildi"
"Start Time","Başlama Tarihi"
"Store View","Mağaza Görünümü"
"This sitemap no longer exists","Site haritası bulunamadı"
"Unable to find a sitemap to delete","Silinecek site haritası bulunamadı"
"Unable to find a sitemap to generate","Üretilecek site haritası bulunamadı"
"Unable to generate a sitemap","Site haritası üretilemedi"
"Valid values range from 0.0 to 1.0","Geçerli değer aralığı 0.0 - 1.0 arasıdır"
"Weekly","Haftada Bir"
"Yearly","Yıllık"
