"Abandoned carts","עגלות נטושות"
"Action","פעולה"
"Add to Cart","הוסף לסל"
"Add to Compare","הוסף להשוואה"
"Add to Wishlist","הוסף לרשימת 'אני רוצה גם'"
"Applied Coupon","ממש קופון"
"Avg. approved rating","Avg. approved rating"
"Avg. rating","Avg. rating"
"Bestsellers","רב-מכר"
"Bought from wishlists","נקנה מרשימת החלומות"
"CSV","CSV"
"Carrier/Method","משלח/שיטה"
"Carts","עגלות"
"Coupons","קופונים"
"Created at","נוצר ב-"
"Customer","לקוח"
"Customer Name","שם לקוח"
"Customer Tags","תגיות לקוח"
"Customers","קונים"
"Customers Report","דוח לקוחות"
"Customers Reviews","ביקורות קונים"
"Customers Tags","תגיות לקוחות"
"Customers by number of orders","לקוחות ע""פ כמות הזמנות"
"Customers by orders total","לקוחות ע""פ ערך הזמנה"
"Customers that have wishlist: %s%","לקוחות עם רשימת חלומות: %s%"
"Day","יום"
"Default Recently Compared Products count","Default Recently Compared Products count"
"Default Recently Viewed Products count","Default Recently Viewed Products count"
"Detail","פירוט/פרטים"
"Discounts","הנחות"
"Downloads","הורדות"
"Email","מייל"
"Excel","Excel"
"First Name","שם פרטי"
"Guest","אורח"
"Hits","צפיות"
"ID","קוד/ת.ז/זיהוי"
"Invalid date specified","Invalid date specified"
"Invoiced","נרשם בחשבונית"
"Items Ordered","פריטים שהוזמנו"
"Items in Cart","פריטים בעגלת הקניות"
"Last Name","שם משפחה"
"Last Review","משוב אחרון"
"Link","קישור"
"Low stock","מלאי נמוך"
"Month","חודש"
"Most Viewed","נצפים ביותר"
"Most viewed","נצפים ביותר"
"Name","שם"
"New Accounts","חשבונות חדשים"
"Number Added","כמות שהוספה"
"Number Fulfilled","כמות שהושגה/בוצעה/מולאה"
"Number Of Historical Uses","כמות שימושים היסטוריים"
"Number Of Reviews","מספר סיקורים"
"Number Of Uses","כמות שימושים"
"Number Purchased","מספר רכישה"
"Number Viewed","כמות שנצפו"
"Number of Items","כמות פריטים"
"Number of Ivoiced Orders","Number of Ivoiced Orders"
"Number of New Accounts","כמות חשבונות חדשים"
"Number of Orders","כמות הזמנות"
"Number of Refunded Orders","Number of Refunded Orders"
"Number of Reviews","מספר סיקורים"
"Number of Total Tags","כמות כוללת של תגים"
"Number of Unique Tags","מספר תגים ייחודיים"
"Number of Views","מספר צפיות"
"Number of items bought from a wishlist: %s","כמות פריטים שנקנתה מרשימת החלומות: %s"
"Number of times deleted","כמות מחיקות"
"Number of times wishlists have been shared (emailed): %s","כמות הפעמים שרשימת החלומות שותפה (באימייל): %s"
"Number of wishlist conversions: %s","כמות המרות של רשימת חלומות: %s"
"Number of wishlist referrals: %s","כמות התייחסיות לרשימת החלומות: %s"
"Number of wishlists: %s","כמות רשימות חלומות: %s"
"Offline Refunded","Offline Refunded"
"Online Refunded","Online Refunded"
"Orders","הזמנות"
"Out of stock","אין במלאי"
"Poducts Report","דוח מוצרים"
"Popular Tags","תגים פופולריים"
"Popularity","פופולריות"
"Price","מחיר"
"Product Name","שם המוצר"
"Product Reviews","סיקורי מוצר"
"Product Sku","קוד/מק""ט מוצר"
"Product Tags","תגיות מוצר"
"Products","מוצרים"
"Products Report","דוח מוצרים"
"Products Reviews","סקירות מוצרים"
"Products Sold","Products Sold"
"Products Tags","תגיות מוצרים"
"Products in carts","מוצרים בעגלות"
"Purchases","רכישות"
"Quantity Ordered","כמות מוזמנת"
"Quantity of Items","כמות פריטים"
"Rate","Rate"
"Recently Compared Products","מוצרים שהושוו לאחרונה"
"Recently Viewed Products","מוצרים שנצפו לאחרונה"
"Recently Viewed/Compared Products","מוצרים שנצפו/הושוו לאחרונה"
"Refunded","הוחזר"
"Reports","דו""חות"
"Results","תוצאות"
"Revenue","פדיון"
"Review","סקירת מוצר"
"Reviews","סקירות/סיקורים"
"Reviews for %s","סקירות עבור %s"
"Sales","מכירות"
"Sales Report","דו""חות מכירות"
"Search Terms","מילות חיפוש"
"Shipping","משלוח"
"Shopping Cart","סל קניות"
"Show for Current","הראה עבור נוכחי"
"Stock Qty","כמות מלאי"
"Submitted In","נרשם ב"
"Submitted On","נרשם ב"
"Subtotal","סך ביניים"
"Tag","תג"
"Tag ""%s"" details","פרטי תג ""%s"""
"Tag Detail","פרטי תג"
"Tag Name","שם תג"
"Tag use","Tag use"
"Tags submited by %s","Tags submited by %s"
"Tags submitted to %s","תגים שהוזנו עבור %s"
"Tax","מע""מ"
"Tax Amount","סכום מע""מ"
"Title","כותרת"
"Total","סה""כ"
"Total Invoiced","Total Invoiced"
"Total Invoiced Captured","Total Invoiced Captured"
"Total Invoiced not Captured","Total Invoiced not Captured"
"Total Refunded","סה""כ הוחזר"
"Total Shipping","סה""כ משלוח"
"Total Tags","סה""כ תגים"
"Total invoiced","סה""כ בחשבונית"
"Total refunded","סה""כ הוחזר"
"Updated at","עודכן ב"
"Visible In","גלוי ב"
"Wishlist Report","דוח רשימת החלומות"
"Wishlist vs. Regular Order","רשימת חלומות מול הזמנה רגילה"
"Wishlists","רשימות חלומות"
"Year","שנה"
"Your Recently Compared","השוואות אחרונות"
"Your Recently Viewed","מוצרים נצפים לאחרונה"
