"Actions","İşlemler"
"Active","Aktif"
"Add New Rule","Kural Ekle"
"Apply Rules","Kuralları Uygula"
"Attribute Set","Özellik Seti"
"Catalog","Katalog"
"Catalog Price Rule","Katalog Fiyat Kuralı"
"Catalog Price Rules","Katalog Fiyat Kuralları"
"Category","Kategori"
"Comments History","Yorum Geçmişi"
"Conditions","Durumlar"
"Conditions (leave blank for all products)","Durumlar (bütün ürünler için olacaksa boş bırakınız)"
"Conditions Combination","Durum Kombinasyonu"
"Credit Memos","Kredi Notları"
"Customer Groups","Müşteri Grupları"
"Customer is new buyer: %s","Yeni Alışveriş Yapan Müşteri : %s"
"Customer registered: %s","Yeni Kaydolan Müşteri : %s"
"Date Expire","Bitiş Tarihi"
"Date From","Başlangıç Tarihi"
"Date Start","İlk Tarih"
"Date To","Son Tarih"
"Delete Rule","Kuralı Sil"
"Description","Açıklama"
"Description: %s","Açıklama : %s"
"Edit Rule","Kuralı Düzenle"
"Edit Rule '%s'","Kuralı Düzenle '%s'"
"Expire at: %s","Bitiş Tarihi : %s"
"From Date","Başlama Tarihi"
"General Information","Genel Bilgi"
"Gift Messages","Hediye Mesajları"
"ID","No"
"Inactive","Pasif"
"Invoices","Faturalar"
"NOT LOGGED IN","KULLANICI GİRİŞİ YAPMAMIŞ"
"Name: %s","Adı : %s"
"New Rule","Yeni Kural"
"No","Hayır"
"Options","Seçenekler"
"Order Credit Memos","Kredi İle Sipariş Notları"
"Order Gift Messages","Hediye Siparişi Mesajları"
"Order History","Sipariş Geçmişi"
"Order Invoices","Faturalar"
"Order Shipments","Kargo"
"Priority","Önem"
"Product Attribute","Ürün Özellikleri"
"Promotions","Promosyonlar"
"Rule Information","Kural Bilgisi"
"Rule Name","Kural Adı"
"Rule was successfully deleted","Kural silindi"
"Rule was successfully saved","Kural kaydedildi"
"Rules were successfully applied","Kurallar uygulandı"
"Save Rule","Kuralı Kaydet"
"Save and Apply","Kaydet ve Uygula"
"Shipments","Kargolar"
"Start at: %s","Başla : %s"
"Status","Durum"
"Stop further rules processing","Çalışmakta olan kuralların çalışmasını durdur"
"The page you are trying to save no longer exists","Kaydetmeye çalıştığınız sayfa bulunamıyor"
"There are rules that have been changed but not applied. Please, click Apply Rules in order to see immediate effect in catalog.","Değişmiş ama uygulanmamış kurallar var. Lütfen kataloğa etkilerini görmek için 'Kuralları Uygula' butonuna basınız."
"This rule no longer exists","Kural bulunamadı..."
"To Date","Son Tarih"
"Unable to apply rules","Kurallar uygulanamadı"
"Unable to find a page to delete","Silinecek sayfa(lar) bulunamadı"
"Update product's %s %s: %s","Ürünü güncelle  %s %s: %s"
"Websites","Web Siteleri"
"Yes","Evet"
