"Add Recipient","Добавить получателя"
"Allow for Guests","Разрешено для гостей"
"Email Address","Адрес электронной почты (email)"
"Email Address:","Адрес электронной почты (email):"
"Email templates","Шаблоны писем (email)"
"Email to a Friend","Отправить другу"
"Email:","Электронная почта (email):"
"Enabled","Включено"
"Limit Sending By","Ограничить отправку до"
"Link to a friend was sent.","Ссылка отправлена другу."
"Max Products Sent in 1 Hour","Максимальное кол-во товаров, отправляемых за 1 час"
"Max Recipients","Максимальное кол-во получателей"
"Maximum %d email addresses allowed.","Разрешено максимум %d адресов электронной почты (email)."
"Message:","Сообщение:"
"Name","Имя"
"Name:","Имя:"
"Recipient:","Получатель:"
"Remove Email","Удалить письмо (email)"
"Select email template","Выбрать шаблон письма (email)"
"Send email","Отправить письмо (email)"
"Send product to a friend","Отправить другу"
"Sender:","Отправитель:"
"Some emails was not sent","Некоторые письма не были отправлены"
"Some problems with data.","Некоторые проблемы с данными."
"You cannot email this product to a friend","Вы не можете отправить письмо про этот товар другу"
"You cannot send more than %d times in an hour","Вы не можете посылать письма чаще %d раз(а) в час"
