"Actions","操作"
"Active","激活"
"Add New Rule","增加新的規則"
"Apply Rules","應用規則"
"Attribute Set","屬性集"
"Catalog","目錄"
"Catalog Price Rule","目錄價格規則"
"Catalog Price Rules","目錄價格規則"
"Category","分類"
"Comments History","備註記錄"
"Conditions","條件"
"Conditions (leave blank for all products)","條件(留空為所有商品) "
"Conditions Combination","條件組合"
"Credit Memos","付款"
"Customer Groups","客戶分組"
"Customer is new buyer: %s","新客戶：%s "
"Customer registered: %s","註冊日期：%s "
"Date Expire","有效期"
"Date From","開始日期"
"Date Start","開始日期"
"Date To","結束日期"
"Delete Rule","刪除規則"
"Description","說明"
"Description: %s","說明：%s "
"Edit Rule","修改規則"
"Edit Rule '%s'","修改規則'%s' "
"Expire at: %s","有效期：%s "
"From Date","開始日期"
"General Information","基本信息"
"Gift Messages","禮物留言"
"ID","編號"
"Inactive","未激活"
"Invoices","發票"
"NOT LOGGED IN","未登錄"
"Name: %s","名稱：%s "
"New Rule","新規則"
"No","否"
"Options","選項"
"Order Credit Memos","訂單付款"
"Order Gift Messages","訂單禮物留言"
"Order History","訂單記錄"
"Order Invoices","訂單發票"
"Order Shipments","訂單配送"
"Priority","優先級"
"Product Attribute","商品屬性"
"Promotions","促銷"
"Rule Information","規則信息"
"Rule Name","規則名稱"
"Rule was successfully deleted","成功刪除規則"
"Rule was successfully saved","成功保存規則"
"Rules were successfully applied","成功應用規則"
"Save Rule","保存規則"
"Save and Apply","保存並應用"
"Shipments","配送"
"Start at: %s","開始：%s "
"Status","狀態"
"Stop further rules processing","停止處理其它規則"
"The page you are trying to save no longer exists","要保存的頁面不存在"
"There are rules that have been changed but not applied. Please, click Apply Rules in order to see immediate effect in catalog.","There are rules that have been changed but not applied. Please, click Apply Rules in order to see immediate effect in catalog."
"This rule no longer exists","該規則不存在"
"To Date","結束日期"
"Unable to apply rules","無法應用規則"
"Unable to find a page to delete","無法找到要刪除的頁面"
"Update product's %s %s: %s","感謝商品的%s %s: %s"
"Websites","網站"
"Yes","是"
