"%s is not correct comparsion method.","%s 不是正确的比较方法。"
"<strong>Please note</strong>, that these Settings are applicable to cart line Items, not the whole Cart.","<strong>请注意</strong>，这些设置仅使用于购物车里某一类商品，而不是整个购物车。"
"Allow Qty Below 0","允许库存数量低于0"
"Allow Qty Below 0 and Notify Customer","允许库存数量低于0并提醒客户"
"Backorders","缺货订单"
"By Fixed value","根据固定值"
"By Percentage","根据百分比"
"Can not specify product identifier for order item","无法指定订购商品的标识"
"Catalog Inventory","目录库存"
"Decrease Stock When Order is Placed","订单生成后冲减库存"
"In Stock","有库存"
"Inventory","库存管理"
"Inventory API","库存API"
"Inventory Section","库存单元"
"Manage Stock","库存管理"
"Maximum Qty Allowed in Shopping Cart","购物车中最多可允许商品数量"
"Minimum Qty Allowed in Shopping Cart","购物车中最少可允许商品数量"
"No Backorders","不允许缺货订单"
"Notify for Quantity Below","需要提醒的最少数量"
"Out of Stock","无库存"
"Product Stock Options","商品库存选项"
"Qty for Items' Status to become Out of Stock","此数量时将商品状态设置为库存不足"
"Retrieve stock data","读取库存数据"
"Retrieve stock data by product ids","根据商品编号(id)读取库存数据"
"Rule price","价格规则"
"Set Items' Status to be In Stock When Order is Cancelled","订单取消时将相关商品状态重置为有库存"
"Some of the products are currently out of stock","部分商品目前无库存"
"Some of the products can not be ordered in requested quantity","部分商品无法按照要求的数量订购"
"Some of the products cannot be ordered in the requested quantity","部分商品无法按照要求的数量订购"
"Stock Options","库存选项"
"Stock item for Product in option is not valid","指定商品的库存记录不存在"
"Stock item for Product is not valid","商品库存记录不存在"
"The maximum quantity allowed for purchase is %s.","购买的最大允许数量是%s。"
"The minimum quantity allowed for purchase is %s.","最低允许购买数量为 %s。"
"The requested quantity for ""%s"" is not available.","您订购""%s""数量没有库存。"
"The requested quantity is not available.","您订购的数量没有库存。"
"This product is currently out of stock.","此商品目前库存不足。"
"To Fixed Value","为固定值"
"To Percentage","为百分比"
"Update","更新"
"Update product stock data","更新商品库存数据"
"Update the Product","更新商品"
