"* Required Fields","*必填欄目"
"Add","增加"
"Add Gift Message","增加禮物留言"
"Allow Gift Messages for Order Items","運行訂購商品禮物留言"
"Allow Gift Messages on Order Level","運行整個訂單的禮物留言"
"Are you sure?","您確認嗎？"
"Cancel","取消"
"Check this checkbox if you want to add gift messages to your items.","如果您要給商品增加禮物留言，請選擇該方框"
"Check this checkbox if you want to add gift messages.","如果您要增加禮物留言，請選擇該方框。 "
"Close","關閉"
"Do you have any gift items in your order?","您的訂單中有禮物嗎？ "
"Edit","修改"
"Edit Gift Message","修改禮物留言"
"Enter a gift message for each item in your order.","輸入訂單中每件商品的禮物留言"
"Enter a gift message for entire order.","輸入該訂單的禮物留言。 "
"Enter a gift message for this address.","輸入該地址的禮物留言。 "
"Error while saving gift message","保存禮物留言時出錯"
"From","來自"
"Gift Message","禮物留言"
"Gift Messages","禮物留言"
"Gift message has been successfully saved","成功保存禮物留言"
"Item %d of %d","第%d件，共%d件"
"Message","留言"
"No","否"
"Remove","刪除"
"Save","保存"
"Save Gift Message","保存禮物留言"
"To","給"
"Unknown entity type","未知實體類型"
"Use config","使用設置"
"Yes","是"
"You can leave a box blank if you don't wish to add a gift message for the item.","You can leave a box blank if you don't wish to add a gift message for the item. "
"You can leave a box blank if you don't wish to add a gift message for this address.","You can leave a box blank if you don't wish to add a gift message for this address. "
"You can leave a box blank if you don't wish to add a gift message for whole order.","You can leave a box blank if you don't wish to add a gift message for whole order. "
"Your gift message has been successfully removed","成功刪除您的禮物留言"
"Your gift message has been successfully saved","成功保存您的禮物留言"
"Your gift message successfully removed","成功刪除您的禮物留言"
"Your gift message successfully saved","成功保存您的禮物留言"
