"-- Please Select --","-- Lütfen Seçiniz --"
"Add New Class","Sınıf Ekle"
"Add New Tax Rate","Vergi Oranı Ekle"
"Add New Tax Rule","Vergi Kuralı Ekle"
"Apply Discount On Prices Including Tax","Vergi dahil fiyatlara indirim uygula"
"Apply Tax After Discount","Vergiyi indirimden sonra uygula"
"Apply Tax On","Vergiyi Uygula"
"Are you sure you want to do this?","Bunu yapmak istediğinizden emin misiniz ?"
"Back","Geri"
"CSV","CSV"
"Calculation","Hesaplama"
"Catalog prices include tax","Katalog fiyatlarına vergi ekle"
"Class Name","Sınıf Adı"
"Code","Kod"
"Country","Ülke"
"Country/Region/Postal code combination","Ülke/Bölge/Posta kodu kombinasyonu"
"County","Bölge"
"Custom price if available","Eğer varsa özel fiyat kullan"
"Customer Tax Class","Müşteri Vergi Sınıfı"
"Customer Tax Class Information","Müşteri Vergi Sınıfı Bilgisi"
"Customer Tax Classes","Müşteri Vergi Sınıfları"
"Default Country","Varsayılan Ülke"
"Default Post Code","Varsayılan Posta Kodu"
"Default State","Varsayılan Şehir"
"Default Tax Origin Calculation","Varsayılan Vergi Merkezi Hesaplaması"
"Delete Class","Sınıfı Sil"
"Delete Rate","Oranı Sil"
"Delete Rule","Kuralı Sil"
"Display","Göster"
"Display Cart/Order Prices","Sepet/Sipariş Fiyatlarını Göster"
"Display Product Prices","Ürün Fiyatlarını Göster"
"Display Shipping Prices","Teslimat Fiyatlarını Göster"
"Display Zero Tax Subtotal","Vergisiz Ara Toplamı Göster"
"Display full tax summary","Tüm Vergi Özetini Göster"
"Edit Class","Sınıfı Düzenle"
"Edit Class '%s'","Sınıfı Düzenle '%s'"
"Edit Rule","Kuralı Düzenle"
"Edit Tax Rate","Oranı Düzenle"
"Error while deleting this class. Please try again later.","Sınıf silinirken hata oluştu. Lütfen daha sonra tekrar deneyiniz."
"Error while deleting this rate. Incorrect rate ID","Oran silinirken hata oluştu. Hatalı oran numarası"
"Error while deleting this rate. Please try again later.","Oran silinirken hata oluştu. Lütfen daha sonra tekrar deneyiniz."
"Error while deleting this tax rule. Please try again later.","Kural silinirken hata oluştu. Lütfen daha sonra tekrar deneyiniz."
"Error while saving this rate. Please try again later.","Oran kaydedilirken hata oluştu. Lütfen daha sonra tekrar deneyiniz."
"Error while saving this tax class. Class with the same name ","Sınıf kaydedilirken hata oluştu. Aynı adla bir sınıf var "
"Error while saving this tax class. Please try again later.","Sınıf kaydedilirken hata oluştu. Lütfen daha sonra tekrar deneyiniz."
"Error while saving this tax rule. Please try again later.","Kural kaydedilirken hata oluştu. Lütfen daha sonra tekrar deneyiniz."
"Error while saving this tax rule. This product tax class, customer tax class and tax rate combination","Vergi kuralı kaydedilirken hata oluştu. Bu ürün vergi sınıfı, müşteri vergi sınıfı ve vergi oranı kombinasyonu"
"Excl. Tax","Vergi Hariç"
