"%d Review(s)","%d opinião(ões)"
"%s Review(s)","%s opinião(ões)"
"(Posted on %s)","(Postado em %s)"
"1 star","1 estrela"
"2 stars","2 estrelas"
"3 stars","3 estrelas"
"4 stars","4 estrelas"
"5 stars","5 estrelas"
"Add New Review","Adicionar nova opinião"
"Add Your Review","Adicionar sua opinião"
"Administrator","Administrador"
"All Reviews","Todas opiniões"
"All reviews of customer `%s`","Todas as opiniões do cliente '%s'"
"Allow guests to write reviews","Permitir que visitantes escrevam opiniões"
"Are you sure you want to do this?","Você tem certeza que deseja fazer isto?"
"Are you sure?","Você tem certeza?"
"Average Customer Rating","Média de avaliação de clientes"
"Average Customer Rating:","Média de avaliação de clientes:"
"Back","Voltar"
"Back to Main Product Info","Voltar para informações principais do produto"
"Back to My Reviews","Voltar para minhas opiniões"
"Back to Product Reviews","Voltar para opiniões de produto"
"Be the first to review this product","Seja o primeiro a avaliar este produto"
"Created On","Criado em"
"Customer","Cliente"
"Customer Reviews","Opiniões do cliente"
"Delete","Excluir"
"Delete Review","Excluir opinião"
"Detailed Rating","Classificação detalhada"
"Edit Review '%s'","Editar opinião '%s'"
"Guest","Visitante"
"How do you rate this product?","Como você classifica este produto?"
"ID","ID"
"Manage Ratings","Gerenciar votos"
"My Product Reviews","Minhas opiniões de produtos"
"My Recent Reviews","Minhas opiniões recentes"
"Name","Nome"
"Name In Store","Nome na loja"
"New Review","Nova opinião"
"Nickname","Apelido"
"Pending Reviews","Opiniões pendentes"
"Pending reviews","Opiniões pendentes"
"Pending reviews of customer `%s`","Opiniões de clientes pendentes '%s'"
"Please select a product","Por favor, selecione um produto"
"Please select one of each of the ratings above","Por favor, selecione uma das avaliações acima"
"Posted By","Publicado por"
"Price","Preço"
"Product","Produto"
"Product Name","Nome do produto"
"Product Rating","Classificação do produto"
"Product Rating:","Classificação do produto:"
"Product Review (submitted on %s):","Opinião do produto (enviado em %s):"
"Product Reviews","Opiniões dos produtos"
"Product SKU","ID do produto"
"Qty","Qtde"
"Rating:","Classificação:"
"Review","Opinião"
"Review Details","Detalhes da opinião"
"Review by %s","Analisado por %s"
"Reviews and Ratings","Opiniões e avaliações"
"SKU","ID do produto"
"Save Review","Salvar opinião"
"Status","Status"
"Submit Review","Enviar opinião"
"Summary Rating","Sumário de classificação"
"Summary of Review","Sumário da opinião"
"Summary of Your Review","Sumário das suas opiniões"
"Summary of review","Sumário da opinião"
"Title","Título"
"Type","Tipo"
"Unable to post review. Please, try again later.","Impossível enviar opinião. Por favor, tente novamente mais tarde."
"Update status","Atualizar status"
"View All Reviews","Ver todas opiniões"
"View Details","Visualizar detalhes"
"Visible In","Visível em"
"Websites","Websites"
"Write Your Own Review","Escrever sua opinião"
"You have submitted no reviews.","Você não enviou opiniões."
"You're reviewing: %s","Você está revendo: %s"
"Your Rating:","Sua classificação:"
"Your Review (submitted on %s):","Sua opinião (enviada em %s):"
"Your review has been accepted for moderation","Sua opinião foi aceita para avaliação"
"OR","OU"
"My Product Reviews","My Product Reviews"
