"1 star","1 αστέρι"
"2 stars","2 αστέρια"
"3 stars","3 αστέρια"
"4 stars","4 αστέρια"
"5 stars","5 αστέρια"
"Add New Rating","Προσθήκη Νέας Βαθμολογίας"
"Assigned Options","Ανατεθειμένες Επιλογές"
"Be the first to review this product","Αξιολογήστε πρώτος αυτό το προϊόν"
"Default Value","Προκαθορισμένη Τιμή"
"Delete Rating","Διαγραφή Βαθμολογίας"
"Edit Rating","Επεξεργασία Βαθμολογίας"
"ID","ID"
"If you do not specify a rating title for a store, the default value will be used.","Εάν δεν προσδιορίσετε έναν τίτλο βαθμολογίας για ένα κατάστημα, θα χρησιμοποιηθεί η προκαθορισμένη τιμή"
"Manage Ratings","Διαχείριση Βαθμολογιών"
"New Rating","Νέα Βαθμολογία"
"Option Label","Ετικέτα Επιλογής"
"Option Title","Τίτλος Επιλογής"
"Option Title:","Τίτλος Επιλογής:"
"Please select one of each ratings above","Παρακαλώ επιλέξτε μία από τις κάθε παραπάνω βαθμολογίες"
"Rating Information","Πληροφορίες Βαθμολογίας"
"Rating Name","Όνομα Βαθμολογίας"
"Rating Options","Επιλογές Βαθμολογίας"
"Rating Title","Τίτλος Βαθμολογίας"
"Rating Visibility","Ορατότητα Βαθμολογίας"
"Rating isn't Available","Η Βαθμολογία δεν είναι Διαθέσιμη"
"Rating with the same title","Βαθμολογία με τον ίδιο τίτλο"
"Save Rating","Αποθήκευση Βαθμολογίας"
"Visible In","Ορατή σε"
