"* Required Fields","* Required Fields"
"A new password was sent","تم إرسال كلمة مرور جديدة"
"Account Dashboard","Account Dashboard"
"Account Information","بيانات الحساب"
"Account Sharing Options","خيارات مشاركة الحساب"
"Account information was successfully saved","تم حفظ بيانات الحساب بنجاح"
"Action","Action"
"Add New Address","إضافة عنوان جديد"
"Add New Customer","إضافة عميل جديد"
"Add New Customer Group","إضافة مجموعة عملاء جديدة"
"Added From","مضاف من"
"Additional Address Entries","مدخلات عنوان إضافية"
"Address","العنوان"
"Address Book","Address Book"
"Address Information","بيانات العنوان"
"Addresses","العناوين"
"Admin","الإدارة"
"All","الكل"
"All Store Views","All Store Views"
"All countries","كل الدول"
"Always optional","Always optional"
"Amount","كمية"
"Approved","Approved"
"Are you sure that you want to remove this item?","هل أنت متأكد أنك تريد إزالة هذه السلعة؟"
"Are you sure you want to cancel adding of this address?","هل أنت متأكد أنك تريد إلغاء إضافة هذا العنوان؟"
"Are you sure you want to delete this address?","هل أنت متأكد أنك تريد حذف هذا العنوان؟"
"Are you sure?","هل أنت متأكد؟"
"Array of Entity collections is expected","Array of Entity collections is expected"
"Assign a customer group","Assign a customer group"
"Average Sale","Average Sale"
"Back","العودة"
"Back to Login","العودة لتسجيل الدخول"
"Bad request.","Bad request."
"Bill to Name","Bill to Name"
"Billing Information","بيانات الدفع"
"Bought From","تم الشراء من"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more."
"CSV","CSV"
"Can't save address","Can't save address"
"Can't save customer","Can't save customer"
"Can't share customer accounts global. Because some customer accounts with same emails exist on multiple websites and cannot be merged.","Can't share customer accounts global. Because some customer accounts with same emails exist on multiple websites and cannot be merged."
"Cancel","إلغاء"
"Change Account Password","تغيير كلمة مرور الحساب"
"Change Billing Address","تغيير عنوان الدفع"
"Change Password","تغيير كلمة المرور"
"Change Shipping Address","تغيير عنوان الشحن"
"City","المدينة"
"Company","الشركة"
"Config","Config"
"Confirm New Password","تأكيد كلمة المرور الجديدة"
"Confirm Password","تأكيد كلمة المرور"
"Confirmation Link Email","Confirmation Link Email"
"Confirmed","Confirmed"
"Contact Information","بيانات الاتصال"
