"Example: <b>https://www.paypal.com/au/cgi-bin/webscr?cmd=_express-checkout&useraction=<user_action>&amp;token=</b> Where &lt;user_action&gt; is 'commit' or 'continue', depending on your preference of commit button text.","Example: <b>https://www.paypal.com/au/cgi-bin/webscr?cmd=_express-checkout&useraction=<user_action>&amp;token=</b> Where &lt;user_action&gt; is 'commit' or 'continue', depending on your preference of commit button text."
"API Password","API密碼"
"API Signature","API簽名"
"API User Name","API用戶名"
"Amex","Amex "
"Authorization","授權"
"Authorize and Capture","授權和接收"
"Billing Information","賬單信息"
"Business Account","公司帳號"
"Business Name","公司名稱"
"Card Verification Number","信用卡校驗碼"
"Change Payment Method","修改支付方式"
"Change Shipping Address","修改配送地址"
"Credit Card Number","信用卡號碼"
"Credit Card Number: xxxx-%s","信用卡號碼：xxxx-%s "
"Credit Card Type","信用卡類型"
"Credit Card Type: %s","信用卡類型：%s "
"Credit Card Types","信用卡類型"
"Customer returned from PayPal site.","Customer returned from PayPal site."
"Debug Flag","調試標記"
"Discover","查找"
"Edit Shopping Cart","修改購物車"
"Enabled","啟用"
"Error in creating an invoice","創建發票出錯"
"Error in refunding the payment","退款出錯"
"Expiration Date","有效期"
"Expiration Date: %s/%s","有效期：%s/%s "
"Incl. Tax","Incl. Tax"
"Invalid transaction id","交易編號錯誤"
"Invoice #%s created","Invoice #%s created"
"Issue Number","卡號"
"Items in Your Shopping Cart","購物車中商品"
"MasterCard","MasterCard "
"Maximum image size is 750x90 px.","Maximum image size is 750x90 px."
"N/A","空"
"Name on Card","持卡人姓名"
"Name on the Card: %s","持卡人姓名：%s "
"New order status","新訂單狀態"
"No shipping method required.","No shipping method required."
"Order","訂單"
"Order total amount does not match paypal gross total amount","訂單金額與paypal金額不一致"
"Page Style","Page Style"
"PayPal Accounts","PayPal帳號"
"PayPal Email","PayPal Email"
"PayPal Express Checkout","PayPal Express Checkout"
"PayPal Uk Account","PayPal Uk帳號"
"PayPal Website Payments Pro - Direct Payments","PayPal Website Payments Pro - Direct Payments"
"PayPal Website Payments Standard","PayPal Website Payments Standard"
"Payment Action","支付操作"
"Payment Method","支付方式"
"Payment from Specific countries","從指定國家付款"
"Payment from applicable countries","從適用國家付款"
"Paypal Checkout","Paypal結帳"
"Paypal IPN Invalid %s.","Paypal IPN Invalid %s."
"Paypal Logo Image URL","Paypal Logo Image URL"
"Paypal URL","Paypal URL"
"Place an Order","下訂單"
"Please select a shipping method...","請選擇配送方式... "
"Please select a valid shipping method","請選擇正確的配送方式"
"Price","價格"
"Problem during communication with PayPal","連接PayPal出錯"
"Product Name","商品名稱"
"Proxy Host","代理服務器"
"Proxy Port","代理服務器端口"
"Qty","數量"
"Received IPN verification","收到IPN校驗"
"Review Order","查看訂單"
"Sale","銷售"
"Sandbox Flag","Sandbox標記"
"Selected currency code (","選擇貨幣代碼( "
"Shipping Address","配送地址"
"Shipping Information","配送信息"
"Shipping Method","配送方式"
"Sorry, no quotes are available for this order at this time.","抱歉，目前沒有訂單的報價。 "
"Sort order","排序"
"Start Date","開始日期"
"Submitting order information...","提交訂單信息... "
"Subtotal","小計"
"Switch/Solo Only","僅Switch/Solo "
"Switch/Solo card issue number: %s","Switch/Solo卡號：%s "
"Switch/Solo card start Date: %s/%s","Switch/Solo開始日期：%s/%s "
"There has been an error processing your payment. Please try later or contact us for help.","處理付款出錯，請稍後再試或聯繫我們。 "
"There was an error connecting to the Paypal server: %s","連接Paypal服務器出錯：%s "
"There was an error during communication with Paypal: %s - %s","連接Paypal出錯：%s - %s "
"Title","標題"
"Transaction Type","交易類型"
"Type","類型"
"Unknown PayPal API error: %s","未知PayPal API錯誤：%s "
"Update Shipping Method","更新配送方式"
"Use Proxy","使用代理"
"Visa","Visa "
"Website Payments Pro and Express Checkout (API Signature)","Website Payments Pro and Express Checkout (API Signature)"
"Website Payments Standard","Website Payments Standard "
"What is this?","這是什麼？ "
"You will be redirected to Paypal in a few seconds.","You will be redirected to Paypal in a few seconds."
"Your billing address will be ignored and you will be redirected to PayPal UK website","將忽略您的賬單地址，並轉到PayPal UK網站"
