"Alert Email Sender","Riasztás email feladó"
"Alert subscription was deleted successfully","Riasztás feliratkozás sikeresen törölve"
"Alert subscription was saved successfully","Riasztás feliratkozás sikeresen mentve"
"Allow alert when product comes back in stock","Riasztás ha a termék ismét elérhető lesz"
"Allow alert when product price changes","Riasztás ha a termék ára változik"
"Click here not to receive alerts for this product","Kattints ide ha nem akarsz riasztásokat kapni erről a termékről"
"Error Email Recipient","Hiba email címzett"
"Error Email Sender","Hiba email feladó"
"Error Email Template","Hiba email sablon"
"Frequency","Gyakoriság"
"Not enough parameters","Kevés paraméter"
"Please try again later","Próbáld meg később"
"Price alert Email Template","Ár riasztás email sablon"
"Price:","Ár:"
"Product Alerts","Termék riasztások"
"Product Alerts Run Settings","Termék riasztások futási beállítása"
"Product alerts Cron error","Termék riasztások időzítés hiba"
"Product not found","Termék nem található"
"Product price alert","Termék ár riasztás"
"Product stock alert","Termék elérhetőség riasztás"
"Sign up for price alert","Feliratkozás ár riasztásra"
"Sign up to get notified when this product is back in stock","Jelentkezés a termék elérhetőségének riasztására, ha ismét készleten van"
"Special price:","Akciós ár:"
"Start Time","Indulás ideje"
"Stock alert Email Template","Készlet riasztás email sablon"
"Unsubscribe from all price alerts","Leiratkozás minden ár riasztásról"
"Unsubscribe from all stock alerts","leiratkozás minden készlet riasztásról"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","Ezért kapod ezt a figyelmeztetést mert feliratkoztál a készlet riasztására a következő termékeknek:"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","Azért kapod ezt a figyelmezetést mert feliratkzotál a az ár riasztására a következő termékeknek"
"You will no longer receive price alerts for this product","Nem fogsz többet ár riasztást kapni erről a termékről"
"You will no longer receive stock alerts","Nem fogsz többet készlet riasztást kapni"
"You will no longer receive stock alerts for this product","You will no longer receive stock alerts for this product"
