"%s already exist","%s esiste già"
"%s already exists","%s esistono già"
"-- Please Select --","-- Selezionare --"
"Add Block Names to Hints","Aggiungi nomi blocco nelle note"
"Add Secret Key to URLs","Aggiungi Secret Key agli URL"
"Add Store Code to Urls","Aggiungi codice negozio agli Url"
"Admin","Admin"
"Admin Base URL","Admin Base URL"
"Admin User Emails","Email dell'Admin"
"Advanced","Avanzate"
"Allow countries","Consenti paesi"
"Allowed IPs (comma separated)","IP permessi (separati da virgola)"
"Are you sure?","Sei sicuro?"
"Back","Indietro"
"Backup options","Opzioni Backup"
"Base JavaScript URL","JavaScript URL di base"
"Base Link URL","Link URL di base"
"Base Media URL","Media URL di base"
"Base Skin URL","Skin URL di base"
"Base URL","URL di base"
"Before modifying the store view code please make sure that it is not used in index.php","Prima di modificare la vista negozio assicurati che non sia usata in index.php"
"Before modifying the website code please make sure that it is not used in index.php","Prima di modificare il codice del sito assicurati che non sia utilizzato in index.php"
"Block with name ""%s"" already exists","Un blocco con il nome ""%s"" esiste già"
"Blocks HTML output","Blocks HTML output"
"Can't retrieve request object","Impossibile recuperare richiesta oggetto"
"Can't retrieve entity config: %s","Impossibile recuperare config entità: %s"
"Cancel","Annulla"
"Cannot Delete Email Template","Non posso eliminare il Template dell'Email"
"Cannot complete this operation from non-admin area.","Impossibile completare l'operazione in una zona non-admin."
"Category object is required for determining product request path","L'oggetto della Categoria è obbligatorio per determinare il percorso della richiesta del prodotto"
"Code","Codice"
"Collections Data","Raccolta Dati"
"Configuration","Configurazione"
"Controller file was loaded but class does not exist","Il file controller è stato caricato ma la classe non esiste"
"Cookie Domain","Cookie Dominio"
"Cookie Lifetime","Durata cookie"
"Cookie Path","Percorso cookie"
"Copyright","Copyright"
"Countries options","Opzioni Paese"
"Create Store","Crea negozio"
"Create Store View","Crea vista negozio"
"Create Website","Crea sito web"
"Current package name","Nome del pacchetto corrente"
"Custom Design","Design personalizzato"
"Custom admin URL","URL Amministrazione Personalizzato"
"Custom email 1","Personalizza email 1"
"Custom email 2","Personalizza email 2"
"Customer support","Personalizza supporto"
"Date From","Dalla data"
"Date To","Alla data"
"Date/time format ""%s"" is not supported.","Data/ora formato ""%s"" non supportato."
"Debug","Debug"
"Default","Predefinito"
"Default Description","Descrizione predefinita"
"Default Keywords","Keywords predefinite"
"Default Pages","Pagine di default"
"Default Robots","Robot predefiniti"
"Default Store","Negozio predefinito"
"Default Store View","Vista negozio predefinita"
"Default Title","Titolo predefinito"
"Default country","Paese di default"
"Default no-route url","Default no-route url"
"Default web url","Web url di default"
"Delete","Cancella"
"Delete Store","Cancella negozio"
"Delete Store View","Cancella vista negozio"
"Delete Website","Cancella sito web"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","Cancellazione di %1$s non cancellerà le informazioni associate con il %1$s (e.g. categorie, prodotti, etc.), ma le %1$s non si potranno ripristinare. Ti suggeriamo di creare un backup del database prima di cancellare i %1$s."
"Design","Design"
"Design Change","Modifiche Design"
"Developer","Sviluppa"
"Developer Client Restrictions","Sviluppa restrizioni clienti"
"Disable email communications","Disabilita le email di comunicazione"
"Disable modules output","Disabilita moduli di output"
"Duplicate Of Template Code","Duplica il modello del codice"
"Edit Design Change","Edita modifiche Design"
"Edit Store","Modifica negozio"
"Edit Store View","Modifica vista negozio"
"Edit Website","Modifica sito web"
"Empty identifier field name","Nome Indentificativo campo vuoto"
"Empty main table name","Nome tabella principale vuoto"
"Enabled","Abilitato"
"Enabled for Admin","Abilitato per l'admin"
"Enabled for Frontend","Abilitato per il Frontend"
"Error in file: ""%s"" - %s","Errore nel file: ""%s"" - %s"
"Error while saving. Please try again later.","Errore durante il salvataggio. Per favore riprovare più tardi."
"Error: Passwords do not match","Errore: le passwords non corrispondono"
"Exceptions Log File Name","Eccezione nome file log"
"First Day of Week","Primo giorno della settimana"
"Footer","Footer"
"Forgot Password Email Sender","Password dimenticata mittente email"
"Forgot Password Email Template","Password dimenticata template email"
"General","Generale"
"General Settings","Impostazioni generali"
"General contact","Contatti Generali"
"Global","Globale"
"HTML Head","HTML Head"
"Header","Header"
"Host","Host"
"Id path for specified store","Percorso id per il negozio specificato"
"Incorrect credit card expiration date","Incorrect credit card expiration date"
"Invalid base url type","Tipo base url non valido"
"Invalid block name to set child %s: %s","Nome blocco non valido per impostare figlio %s: %s"
"Invalid block type: %s","Tipo blocco non valido: %s"
"Invalid block: %s","Blocco non valido: %s"
"Invalid layout update argument, expected Mage_Core_Model_Layout_Element","Aggiornamento del layout non valido, era previsto Mage_Core_Model_Layout_Element"
"Invalid layout update handle","Aggiornamento layout da gestire non valido"
"Invalid messages storage ""%s"" for layout messages initialization","Messaggio archiviazione non valido ""%s"" per l'inizializzazione messaggi layout"
"Invalid transactional email code: ","Codice email transazionale non valido: "
"Invalid websites configuration path: %s","Percorso della configurazione del sito web non valida: %s"
"Layout","Layout"
"Layouts","Layouts"
"Leave empty for access from any location","Lasciare vuoto per accedere da qualsiasi postazione"
"Locale","Impostazioni Locali"
"Locale options","Impostazioni Locali"
"Log Settings","Impostazioni log"
"Logging from Mage::log(). File is located in�{{base_dir}}/var/log","Log da Mage::log(). Il file si trova in {{base_dir}}/var/log"
"Logging from Mage::logException(). File is located in�{{base_dir}}/var/log","Log da Mage::logException(). Il File si trova in {{base_dir}}/var/log"
"Logo Image Alt","Immagine logo Alt"
"Logo Image Src","Immagine logo Src"
"Manage Stores","Gestione negozi"
"Match expressions in the same order as displayed in the configuration.","Abbina espressioni nello stesso ordine visualizzato nella configurazione."
"Miscellaneous HTML","Varie HTML"
"Miscellaneous scripts","Script Vari"
"Model class does not exist: %s","La classe di modello non esiste: %s"
"Model collection resource name is not defined","Il nome della risorsa collezione modelli non è definito"
"Module ""%1$s"" can not be depended from ""%2$s""","Il Modulo ""%1$s"" non può dipendere da ""%2$s"""
"Module ""%1$s"" requires module ""%2$s""","Il Modulo ""%1$s"" richiede il modulo ""%2$s"""
"Name","Nome"
"New Design Change","Nuova modifica design"
"New Store","Nuovo negozio"
"New Store View","Nuova vista negozio"
"New Website","Nuovo sito web"
"No","No"
"Package","Pacchetto"
"Please choose to register or to checkout as a guest","Scegli di registrarti o di fare il checkout come ospite"
"Please define flag code.","Definire il codice flag."
"Please enter 6 or more characters.","Inserire 6 o più caratteri."
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Inserire 6 o più caratteri. Gli spazi iniziali o finali saranno ignorati."
"Please enter a number greater than 0 in this field.","Insereire un numero maggiore di 0 in questo campo."
"Please enter a valid $ amount. For example $100.00.","Inserire un importo valido di $. Per esempio $100.00."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Inserire un URL valido. Per esempio http://www.example.com o www.example.com"
"Please enter a valid URL. http:// is required","Inserisci un URL valido. http:// è richiesto"
"Please enter a valid credit card number.","Inserire un numero di carta di credito valido."
"Please enter a valid date.","Inserire una data valida."
"Please enter a valid email address. For example johndoe@domain.com.","Inserire un indirizzo email valido. Per esempio johndoe@domain.com."
"Please enter a valid number in this field.","Inserire un numero valido in questo campo."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Inserisci un numero di telefono valido. Per esempio (123) 456-7890 o 123-456-7890."
