"%s - Discounts and Coupons","%s – Alennukset ja kupongit"
"%s - Special Discounts","%s – Erikoisalennukset"
"%s RSS Feed","%s RSS Feed"
"%s has reached a quantity of %s.","%s on saavuttanut määrän %s."
"%s's Wishlist","Asiakkaan %s toivelista"
"Cannot retrieve the wishlist","Toivelistaa ei voida noutaa"
"Catalog","Katalogi"
"Category Feeds","Category Feeds"
"Comment: %s<br/>","Kommentti: %s<br/>"
"Coupons/Discounts","Kupongit / alennukset"
"Current Status: %s<br/>","Nykyinen tila: %s<br/>"
"Customer Name: %s","Asiakkaan nimi: %s"
"Customer Order Status Notification","Asiakkaan tilauksen tilan tiedote"
"Details for %s #%s","Yksityiskohdat  %s #%s"
"Discount ","Alennus "
"Enable RSS","Ota käyttöön RSS-syötteet"
"Error in processing xml. %s","Virhe prosessoidessa xml:ää %s"
"From:","Mistä:"
"Get Feed","Hae syöte"
"Gift Message","Lahjaviesti"
"Grand Total","Loppusumma"
"Low Stock Products","Tuotteet joilla pieni varastotilanne"
"Message:","Viesti:"
"Miscellaneous Feeds","Miscellaneous Feeds"
"New Orders","Uudet tilaukset"
"New Products","Uudet tuotteet"
"New Products from %s","%s:n uudet tuotteet"
"Notified Date: %s<br/>","Päivämäärä jolloin ilmoitettu: %s<br/>"
"Order # %s Notification(s)","Tilauksen # %s ilmoitukset"
"Order #%s created at %s","Tilaus #%s luotu (missä) %s"
"Pending product review(s)","Odottavat arvostelut"
"Product: ""%s"" review By: %s","Tuote: ""%s"" arvostellut: %s"
"Product: <a href=""%s"">%s</a> <br/>","Tuote: <a href=""%s"">%s</a> <br/>"
"Products tagged with %s","Tuotte jotka merkitty asiasanalla %s"
"Purchased From: %s","Ostettu (mistä): %s"
"RSS","RSS"
"RSS Feeds","RSS-syötteet"
"RSS testing","RSS testing"
"Review: %s <br/>","Arvostelu: %s <br/>"
"Rss Config","RSS-asetukset"
"Rss Feeds Section","Rss Feeds Section"
"Shipping & Handling","Lähetys ja käsittely"
"Special Products","Erikoistuotteet"
"Special/Discount Products","Erikois-/alennustuotteet"
"Store: %s <br/>","Kauppa: %s <br/>"
"Subtotal","Välisumma"
"Summary of review: %s <br/>","Arvostelun yhteenveto: %s <br/>"
"Tags Products","Asiasanatuotteet"
"Tax","Verot"
"There are no Rss Feeds","There are no Rss Feeds"
"There are no Rss Feeds.","There are no Rss Feeds."
"To:","Mihin:"
"Top Level Category","Ylätason kategoria"
"Total Products: %s","Total Products: %s"
"Total: %s<br/>","Kokonaissumma: %s<br/>"
"Wishlist","Toivelista"
"click <a href=""%s"">here</a> to view the review","klikkaa <a href=""%s"">TÄTÄ</a> katsoaksesi arvostelu"
