"Alert Email Sender","Remitente de correo electrónico de aviso"
"Alert subscription was deleted successfully","Subscrição de Notificações correctamente removido"
"Alert subscription was saved successfully","Subscrição de Notificações correctamente guardado"
"Allow alert when product comes back in stock","Permitir notificações quando o produto voltar a estar disponível"
"Allow alert when product price changes","Permitir notificações quando o preço do produto é alterado"
"Click here not to receive alerts for this product","Prema aquí para non recibir avisos para este produto"
"Error Email Recipient","Destinatario do correo de erro"
"Error Email Sender","Remitente do correo de erro"
"Error Email Template","Modelo de correo de erro"
"Frequency","Frecuencia"
"Not enough parameters","Parâmetros insuficientes"
"Please try again later","Por favor tente novamente mais tarde"
"Price alert Email Template","Template de Email de notificação de Preços"
"Price:","Prezo:"
"Product Alerts","Avisos de produto"
"Product Alerts Run Settings","Configuracións de execución de avisos de produto"
"Product alerts Cron error","Erro de Cron nos avisos de produtos"
"Product not found","Produto não encontrado"
"Product price alert","Aviso do prezo do produto"
"Product stock alert","Aviso da dispoñibilidade do produto"
"Sign up for price alert","Subscribirse ao aviso de prezo"
"Sign up to get notified when this product is back in stock","Subscribirse para ser avisado cando este produto estea dispoñible"
"Special price:","Prezo especial:"
"Start Time","Hora de inicio"
"Stock alert Email Template","Template Email do Alerta de Disponibilidade de Produtos"
"Unsubscribe from all price alerts","Darse de baixa de todos os avisos de prezo"
"Unsubscribe from all stock alerts","Darse de baixa de todos os avisos de dispoñibilidade"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","Está a recibir está notificación porque está subscrito a recibir avisos cando estes produtos están dispoñibles:"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","Está a recibir está notificación porque está subscrito a recibir avisos cando cambian os prezos destes produtos:"
"You will no longer receive price alerts for this product","Não irá receber mais alertas de preço para este produto"
"You will no longer receive stock alerts","Não irá receber mais alertas sobre disponibilidade de produtos"
"You will no longer receive stock alerts for this product","Não irá receber mais alertas de disponibilidade para este produto"
