"Alert Email Sender","Įspėjimas el.pašto Siuntėjui"
"Alert subscription was deleted successfully","Įspėjimas - prenumerata panaikinta"
"Alert subscription was saved successfully","Įspėjimas - prenumerata užsakyta"
"Allow alert when product comes back in stock","Įspėti, kai prekės kiekis bus papildytas"
"Allow alert when product price changes","Įspėti, kai prekės kaina bus pakeista"
"Click here not to receive alerts for this product","Paspauskite čia jei nenorite gauti pranešimus apie šią prekę"
"Error Email Recipient","Klaidingas el.pašto gavėjas"
"Error Email Sender","Klaidingas el.pašto siuntėjas"
"Error Email Template","Klaidingas el.pašto Šablonas"
"Frequency","Dažnumas"
"Not enough parameters","Nepakanka parametrų"
"Please try again later","Pabandykite vėliau"
"Price alert Email Template","Kainos Įspėjimo el.pašto šablonas"
"Price:","Kaina:"
"Product Alerts","Prekės Įspėjimas"
"Product Alerts Run Settings","Prekės Įspėjimo vykdymo Parametrai"
"Product alerts Cron error","Prekės Įspėjimo Cron klaida"
"Product not found","Prekės nėra"
"Product price alert","Prekės kainos pranešimas"
"Product stock alert","Prekės kiekio pranešimas"
"Sign up for price alert","Registruokitės norėdami gauti pranešimus"
"Sign up to get notified when this product is back in stock","Registruokitės, norėdami gauti informaciją, kai šis produktas bus prekyboje"
"Special price:","Nauja kaina:"
"Start Time","Pradžia"
"Stock alert Email Template","Kiekio informacijos el.pašto šablonas"
"Unsubscribe from all price alerts","Atsisakyti visų kainų informavimo"
"Unsubscribe from all stock alerts","Atsisakyti visų kiekių informavimo"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","Jūs gavote š pranešimą todėl, kad Jūs užsisakėte informavimą apie prekių papildymą:"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","Jūs gavote šį pranešimą todėl, kad jūs užsisakėte informaciją apie prekių kainos pokyčius:"
"You will no longer receive price alerts for this product","Jūs daugiau negausite pranešimų apie kainų pokyčius"
"You will no longer receive stock alerts","Jūs daugiau negausite pranešimų apie kiekių pokyčius"
"You will no longer receive stock alerts for this product","Jūs daugiau negausite pranešimų apie šios prekės kiekių pokyčius"
