"Billing Information","ข้อมูลการออกใบเสร็จ"
"Change Payment Method","เปลี่ยนแปลงวิธีการชำระเงิน"
"Change Shipping Address","เปลี่ยนแปลงที่อยู่สำหรับจัดส่งสินค้า"
"Edit Shopping Cart","แก้ไขรถเข็น"
"Email","อีเมล์"
"Incl. Tax","Incl. Tax"
"Items in Your Shopping Cart","รายการในรถเข็นของคุณ"
"No shipping method required.","No shipping method required."
"PayPal Account","บัญชี PayPal "
"PayPal Email","PayPal อีเมลล์"
"Payment Method","วิธีการชำระเงิน"
"Place an Order","สั่งซื้อ"
"Please select a shipping method...","กรุณาเลือกวิธีการจัดส่งสินค้า..."
"Price","ราคา"
"Product Name","ชื่อสินค้า"
"Qty","จำนวน"
"Review Order","ตรวจดูคำสั่งซื้อ"
"Shipping Address","ที่อยู่สำหรับจัดส่งสินค้า"
"Shipping Information","ข้อมูลการจัดส่งสินค้า"
"Shipping Method","วิธีการจัดส่งสินค้า"
"Sorry, no quotes are available for this order at this time.","ขอโทษ,ไม่มีการอ้างอิงที่ใช้ได้สำหรับออเดอร์นี้ขณะนี้"
"Submitting order information...","กำลังยอมรับข้อมูลคำสั่งซื้อ"
"Subtotal","รวม"
"Update Shipping Method","อัพเดทวิธีการจัดส่งสินค้า"
"You will be redirected to PayPal website when you place an order.","คุณจะถูก Redirect ไปยังเว็บไซต์ของ Paypal เมื่อคุณสั่งซื้อสินค้า"
"You will be redirected to Paypal in a few seconds.","You will be redirected to Paypal in a few seconds."
"Your billing address will be ignored and you will be redirected to PayPal website","ที่อยู่สำหรับออกใบเสร็จของคุณจะถูกข้ามไปและคุณจะถูก Redirect ไปยังเว็บไซต์ของ Paypal"
