"(eg: domain.com/identifier)","(например: domain.com/identifier)"
"Action","Действие"
"Add New Block","Добавить новый блок"
"Add New Page","Добавить новую страницу"
"All countries","Все страны"
"Block Information","Информация о блоке"
"Block Title","Заголовок блока"
"Block was successfully deleted","Блок успешно удалён"
"Block was successfully saved","Блок успешно сохранён"
"CMS","CMS"
"CMS Home Page","CMS главная страница"
"CMS No Route Page","CMS страница ""не найдено"""
"Content","Содержание"
"Custom Design","Настраиваемый дизайна"
"Custom Theme","Настраиваемая тема"
"Custom Theme From","Другая тема c"
"Custom Theme To","Другая тема по"
"Customer Tax Class Information","Информация о налогах для клиента"
"Date Created","Дата создания"
"Delete Block","Удалить блок"
"Delete Page","Удалить страницу"
"Description","Описание"
"Disabled","Отключено"
"Edit Block","Редактировать блок"
"Edit Block '%s'","Редактировать блок '%s'"
"Edit Page","Редактировать страницу"
"Edit Page '%s'","Редактировать страницу '%s'"
"Enabled","Включено"
"General Information","Общая информация"
"Go to Home Page","Перейти на главную страницу"
"Home","Главная"
"Identifier","Идентификатор"
"Keywords","Ключевые слова"
"Last Modified","Последнее изменение"
"Layout","Макет"
"Layout Update XML","Обновление макета XML"
"Manage Pages","Управление страницами"
"Meta Data","Данные META"
"Meta Description","Описание META"
"Meta Keywords","Ключевые слова META"
"New Block","Новый блок"
"New Page","Новая страница"
"Page Identifier cannot consist only of numbers.","Идентификатор страницы не может состоять только из цифр."
"Page Identifier for specified store already exist.","Идентификатор страницы для указанного магазина уже существует."
"Page Information","Информация о странице"
"Page Status","Статус страницы"
"Page Title","Заголовок страницы"
"Page was successfully deleted","Страница успешно удалена"
"Page was successfully saved","Страница успешно сохранена"
"Poll Manager","Управление опросами"
"Product Tax Class Information","Информация о налогах для товара"
"SEF URL Identifier","Идентификатор для адресной строки (SEF URL)"
"Save Block","Сохранить блок"
"Save Page","Сохранить страницу"
"Show breadcrumbs for CMS pages","Показать строку навигации для CMS страниц"
"Static Blocks","Статичные блоки"
"Status","Статус"
"Store View","Представление магазина"
"Such a block identifier in selected store already exist.","Такой идентификатор блока уже существует в выбранном магазине."
"The page you are trying to save no longer exists","Страница, которую вы пытаетесь сохранить, больше не существует"
"This block no longer exists","Этот блок больше не существует"
"This page no longer exists","Эта страница больше не существует"
"Title","Заголовок"
"Unable to find a block to delete","Невозможно найти блок для удаления"
"Unable to find a page to delete","Невозможно найти страницу для удаления"
