"%s is not correct comparsion method.","%s - неверный метод сравнения."
"<strong>Please note</strong>, that these Settings are applicable to cart line Items, not the whole Cart.","<strong>Внимание</strong>, эти настройки действуют для товаров в корзине, а не для всей корзины."
"Allow Qty Below 0","Разрешить кол-во ниже 0"
"Allow Qty Below 0 and Notify Customer","Разрешить кол-во ниже 0 и оповестить клиента"
"Backorders","Задолженные заказы"
"By Fixed value","На фиксированное значение"
"By Percentage","На процент"
"Can not specify product identifier for order item","Невозможно указать идентификатор товара для элемента заказа"
"Catalog Inventory","Товары каталога"
"Decrease Stock When Order is Placed","Уменьшать количество товара в момент оформления заказа"
"In Stock","в наличии"
"Inventory","Склад"
"Inventory API","API склада"
"Inventory Section","Раздел склада"
"Manage Stock","Управление наличием"
"Maximum Qty Allowed in Shopping Cart","Максимальное количество, разрешённое в корзине"
"Minimum Qty Allowed in Shopping Cart","Минимальное количество, разрешённое в корзине"
"No Backorders","Без задолженных заказов"
"Notify for Quantity Below","Уведомлять о количестве ниже"
"Out of Stock","нет в наличии"
"Product Stock Options","Параметры наличия товара"
"Qty for Items' Status to become Out of Stock","Кол-во, при котором статус товара становится ""нет в наличии"""
"Retrieve stock data","Получить данные наличия"
"Retrieve stock data by product ids","Получить данные наличия по ИД товара"
"Rule price","Цена для правила"
"Set Items' Status to be In Stock When Order is Cancelled","Менять статус товара на ""есть в наличии"" после отмены заказа"
"Some of the products are currently out of stock","Некоторых товаров нет в наличии"
"Some of the products can not be ordered in requested quantity","Некоторые товары не могут быть заказаны в указанном количестве"
"Some of the products cannot be ordered in the requested quantity","Некоторые товары не могут быть заказаны в указанном количестве"
"Stock Options","Параметры наличия товара"
"Stock item for Product in option is not valid","Неверное количество выбранного товара"
"Stock item for Product is not valid","Неверное количество товара"
"The maximum quantity allowed for purchase is %s.","Максимальное количество, разрешённое для приобретения: %s."
"The minimum quantity allowed for purchase is %s.","Минимальное количество, разрешённое для приобретения: %s."
"The requested quantity for ""%s"" is not available.","Запрашиваемое количество для товара ""%s"" недоступно."
"The requested quantity is not available.","Запрашиваемое количество недоступно."
"This product is currently out of stock.","Данного товара в настоящее время нет в наличии."
"To Fixed Value","К фиксированному значению"
"To Percentage","К процентному значению"
"Update","Обновить"
"Update product stock data","Обновить данные о наличии товара"
"Update the Product","Обновить товар"
