"%s is not correct comparsion method.","%s is not correct comparsion method."
"<strong>Please note</strong>, that these Settings are applicable to cart line Items, not the whole Cart.","<strong>Please note</strong>, that these Settings are applicable to cart line Items, not the whole Cart."
"Allow Qty Below 0","Permitir cantidades por debajo de 0"
"Allow Qty Below 0 and Notify Customer","Permitir cantidades por debajo del 0 y notificar al cliente"
"Backorders","Pedidos de artículos agotados"
"By Fixed value","Por valor fijo"
"By Percentage","Por porcentaje"
"Can not specify product identifier for order item","No se puede especificar el identificador del producto para el artículo del Pedido"
"Catalog Inventory","Catalog Inventory"
"Decrease Stock When Order is Placed","Disminuir las existencias cuando se realiza un Pedido"
"In Stock","In Stock"
"Inventory","Inventario"
"Inventory API","Inventory API"
"Inventory Section","Inventory Section"
"Manage Stock","Manage Stock"
"Maximum Qty Allowed in Shopping Cart","Máxima cantidad permitida en el carrito de compras"
"Minimum Qty Allowed in Shopping Cart","Mínima cantidad permitida en el carrito de compras"
"No Backorders","No hay pedidos de artículos agotados"
"Notify for Quantity Below","Notificar para cantidad debajo de"
"Out of Stock","Out of Stock"
"Product Stock Options","Product Stock Options"
"Qty for Items' Status to become Out of Stock","Qty for Items' Status to become Out of Stock"
"Retrieve stock data","Retrieve stock data"
"Retrieve stock data by product ids","Retrieve stock data by product ids"
"Rule price","Regla de precios"
"Set Items' Status to be In Stock When Order is Cancelled","Set Items' Status to be In Stock When Order is Cancelled"
"Some of the products are currently out of stock","Some of the products are currently out of stock"
"Some of the products can not be ordered in requested quantity","Some of the products can not be ordered in requested quantity"
"Some of the products cannot be ordered in the requested quantity","Some of the products cannot be ordered in the requested quantity"
"Stock Options","Opciones de Existencias"
"Stock item for Product in option is not valid","Stock item for Product in option is not valid"
"Stock item for Product is not valid","Stock item for Product is not valid"
"The maximum quantity allowed for purchase is %s.","The maximum quantity allowed for purchase is %s."
"The minimum quantity allowed for purchase is %s.","The minimum quantity allowed for purchase is %s."
"The requested quantity for ""%s"" is not available.","La cantidad solicitada ""%s"" no está disponible."
"The requested quantity is not available.","La cantidad solicitada no está disponible."
"This product is currently out of stock.","This product is currently out of stock."
"To Fixed Value","Para valor fijo"
"To Percentage","Para porcentaje"
"Update","Update"
"Update product stock data","Update product stock data"
"Update the Product","Actualizar el producto"
