"%s - Discounts and Coupons","%s - Slevy a kupóny"
"%s - Special Discounts","%s - Speciální slevy"
"%s RSS Feed","%s RSS kanál"
"%s has reached a quantity of %s.","%s dosáhl množství %s."
"%s's Wishlist","Seznamů přání: %s"
"Cannot retrieve the wishlist","Nemohu získat seznam přání"
"Catalog","Katalog"
"Category Feeds","Kategorie zdrojů"
"Comment: %s<br/>","Komentářů: %s<br/>"
"Coupons/Discounts","Kupóny/Slevy"
"Current Status: %s<br/>","Aktuální stav: %s<br/>"
"Customer Name: %s","Jméno zákazníka: %s"
"Customer Order Status Notification","Upozornění na stav objednávky zákazníka"
"Details for %s #%s","Detail pro %s #%s"
"Discount ","Sleva "
"Enable RSS","Povolit RSS"
"Error in processing xml. %s","Chyba při zpracování xml. %s"
"From:","Od:"
"Get Feed","Odebírat"
"Gift Message","Přání"
"Grand Total","Celkový součet"
"Low Stock Products","Nízký stav produktů"
"Message:","Zpráva:"
"Miscellaneous Feeds","Ostatní zdroje"
"New Orders","Nové objednávky"
"New Products","Nové produkty"
"New Products from %s","Nové produkty od %s"
"Notified Date: %s<br/>","Datum oznámení: %s<br/>"
"Order # %s Notification(s)","Oznámení objednávky %s"
"Order #%s created at %s","Objednávka %s vytvořena v %s"
"Pending product review(s)","Nevyřešené recenze produktů."
"Product: ""%s"" review By: %s","Produkt: ""%s"" recenzovaný: %s"
"Product: <a href=""%s"">%s</a> <br/>","Produkt: <a href=""%s"">%s</a> <br/>"
"Products tagged with %s","Produkty označené s %s"
"Purchased From: %s","Koupený od: %s"
"RSS","RSS"
"RSS Feeds","RSS zdroje"
"RSS testing","testování RSS"
"Review: %s <br/>","Recenze: %s <br/>"
"Rss Config","Nastavení RSS"
"Rss Feeds Section","RSS zdroje"
"Shipping & Handling","Poštovné a balné"
"Special Products","Speciální produkty"
"Special/Discount Products","Speciální/Slevy Produkty"
"Store: %s <br/>","Obchod: %s <br/>"
"Subtotal","Součet"
"Summary of review: %s <br/>","Souhrn recenzí: %s <br/>"
"Tags Products","Štítky produktů"
"Tax","Daň"
"There are no Rss Feeds","Zde nejsou RSS kanály"
"There are no Rss Feeds.","Zde nejsou RSS kanály."
"To:","Pro:"
"Top Level Category","Nejvyšší kategorie"
"Total Products: %s","Celkem produktů: %s"
"Total: %s<br/>","Celkem: %s <br/>"
"Wishlist","Seznam přání"
"click <a href=""%s"">here</a> to view the review","klikněte <a href=""%s"">zde</a> pro zobrazení recenze"
