" was not delivered nor scanned"," ble ikke levert eller scannet"
"1 Day Freight","En-dag frakt"
"2 Day Freight","To-dager frakt"
"2Day","2-dags"
"2nd Day Air","2nd Day Air"
"2nd Day Air AM","2nd Day Air AM"
"2nd Day Air AM Letter","2nd Day Air AM Letter"
"2nd Day Air Letter","2nd Day Air Letter"
"3 Day Freight","Tre-dager frakt"
"3 Day Select","3 Day Select"
"Access ID","Tilgangs-ID"
"Access license number","Aksess-lisensnummer"
"Account ID","Konto-ID"
"Account number","Kontonummer"
"Additional Protection Configuration Value","Additional Protection Configuration Value"
"Additional Protection Enabled","Additional Protection Enabled"
"Additional Protection Min Subtotal","Additional Protection Min Subtotal"
"Additional Protection Value","Additional Protection Value"
"Additional Protection Value Rounding Method","Additional Protection Value Rounding Method"
"All Services","Alle tjenester"
"Allowed methods","Tillatte metoder"
"Bound Printed Matter","Innbundet forsendelse"
"Business Service Center","Business Service Center"
"Calculate Handling Fee","Beregn ekspedisjonsgebyr"
"Canada Standard","Canada Standard"
"Cannot retrieve shipping rates","Kan ikke hente fraktsatser"
"Commercial","Commercial"
"Configuration","Configuration"
"Container","Container"
"Customer Packaging","Customer Packaging"
"DHL","DHL"
"Default Package Height","Default Package Height"
"Default Package Length","Default Package Length"
"Default Package Width","Default Package Width"
"Delivered","Levert"
"Destination type","Destinasjonstype"
"Displayed Error Message","Feilmelding som vises"
"Domestic Shipment Days","Domestic Shipment Days"
"Drop Box","Postautomat (Drop Box)"
"Dropoff","Utlevering"
"Empty response","Ingen respons"
"Enable Negotiated Rates","Enable Negotiated Rates"
"Enabled","Aktivert"
"Error #%s : %s (%s)","Feil #%s : %s (%s)"
"Error #%s: %s","Feil #%s: %s"
"Europe First Priority","Europe First Priority"
"Express","Express"
"Express 10:30 AM","Express 10:30 AM"
"Express Mail","Express Mail"
"Express Saturday","Express Saturday"
"Express Saver","Express Saver"
"FedEx","FedEx"
"FedEx 10kg Box","FedEx 10kg Box"
"FedEx 25kg Box","FedEx 25kg Box"
"FedEx Box","FedEx Box"
"FedEx Envelope","FedEx Envelope"
"FedEx Pak","FedEx Pak"
"FedEx Tube","FedEx Tube"
"First Overnight","First Overnight"
"First-Class","First-Class"
"Flat","Flat"
"Flat-Rate Box","Flat-Rate Box"
"Flat-Rate Envelope","Flat-Rate Envelope"
"Free method","Gratis frakt"
"Free shipping with minimum order amount","Gratis frakt med minimum ordrebeløp"
"Gateway URL","Gateway URL"
"Gateway XML URL","Gateway XML URL"
"Ground","Ground"
"Ground Commercial","Ground Commercial"
"Ground Residential","Ground Residential"
"Handling Applied","Ekspedisjonsgebyr tillagt"
"Handling fee","Ekspedisjonsgebyr"
"Home Delivery","Levering hjem"
"International Economy","International Economy"
"International Express","International Express"
"International First","International First"
"International Priority","International Priority"
"International Shipment Days","International Shipment Days"
"Intl Economy Freight","Intl Economy Freight"
"Intl Priority Freight","Intl Priority Freight"
"Invalid DHL XML code for type %s: %s","Ugyldig DHL XML-kode for type %s: %s"
"Invalid DHL XML code type: %s","Ugyldig DHL XML-kode type: %s"
"Invalid FedEx XML code for type %s: %s","Ugyldig FedEx XML-kode for type %s: %s"
"Invalid FedEx XML code type: %s","Ugyldig FedEx XML-kode type: %s"
"Invalid UPS CGI code for type %s: %s","Ugyldig UPS CGI-kode for type %s: %s"
"Invalid UPS CGI code type: %s","Ugyldig UPS CGI-kode type: %s"
"Invalid USPS XML code for type %s: %s","Ugyldig USPS XML-kode for type %s: %s"
"Invalid USPS XML code type: %s","Ugyldig USPS XML-kode type: %s"
"Kilograms","Kilograms"
"Large","Stor"
"Letter","Brev"
"Library","Bibliotek"
"Machinable","Kan handteres av maskin"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","Maksvekt (kontakt transportør for informasjon om maksimalt tillatt fraktvekt)"
"Media Mail","Media Mail"
"Minimum order amount for free shipping","Minimum ordreverdi for gratis frakt"
"Next Afternoon","Neste dag"
"Next Day Air","Next Day Air"
"Next Day Air Early AM","Next Day Air Early AM"
"Next Day Air Early AM Letter","Next Day Air Early AM Letter"
"Next Day Air Intra (Puerto Rico)","Next Day Air Intra (Puerto Rico)"
"Next Day Air Letter","Next Day Air Letter"
"Next Day Air Saver","Next Day Air Saver"
"Next Day Air Saver Letter","Next Day Air Saver Letter"
"No","Nei"
"Non-rectangular","Ikke-rektangulær"
"Order","Bestilling"
"Origin of the shipment","Forsendelsens opprinnelse"
"Oversize","Over standardstørrelse"
"Package","Pakke"
"Package Description","Pakkebeskrivelse"
"Packaging","Emballering"
"Parcel","Pakke"
"Parcel Post","Pakkepost"
"Password","Passord"
"Pickup method","Hentemetode"
"Please enter the package weight","Fyll inn pakkens vekt"
"Please make sure to use only digits here. No dashes are allowed.","Please make sure to use only digits here. No dashes are allowed."
"Pounds","Pounds"
"Priority Mail","Priority Mail"
"Priority Overnight","Priority Overnight"
"Receiver","Mottaker"
"Rectangular","Rektangulær"
"Regular","Vanlig"
"Regular Pickup","Vanlig henting"
"Request Courier","Tilkall bud"
"Residential","Residential"
"Residential Delivery","Residential Delivery"
"Response is in the wrong format","Feil format på respons"
"Round","Round"
"Second Day Service","Second Day Service"
"Sender","Avsender"
"Ship to Specific countries","Levering til spesifikke land"
"Ship to applicable countries","Levering til tillatte land"
"Shipment Contains Hazardous Materials","Shipment Contains Hazardous Materials"
"Shipment Dutiable","Forsendelse tollpliktig"
"Shipment Duty Payment Type","Betalingstype for tollavgift"
"Shipment is not available.","Forsendelse ikke tilgjengelig."
"Shipment picked up","Forsendelsen er utlevert"
"Shipment type","Forsendelsestype"
"Shipper Number","Shipper Number"
"Shipping key","Forsendelsesnøkkel"
"Shipping key (International)","Forsendelsesnøkkel (internasjonal)"
"Show method if not applicable","Vis metode hvis ikke tilgjengelig"
"Size","Størrelse"
"Sort order","SorteringsrekkefÃ¸lge"
"Standard Overnight","Standard over natten"
"Station","Stasjon"
"Subtotal","Subtotal"
"Subtotal With Discount","Subtotal With Discount"
"There is no available method for selected shipping address.","Ingen tilgjengelige metoder for valgt leveringsadresse."
"Third Party","3. part"
"Title","Tittel"
"To lower","To lower"
"To upper","To upper"
"Tracking XML URL","Sporings-URL XML"
"UPS","UPS"
"UPS Expedited","UPS Expedited"
"UPS Express","UPS Express"
"UPS Express Box","UPS Express Box"
"UPS Express Early A.M.","UPS Express Early A.M."
"UPS Express Plus","UPS Express Plus"
"UPS Ground","UPS Ground"
"UPS Letter Envelope","UPS Letter Envelope"
"UPS Next Day Air","UPS Next Day Air"
"UPS Next Day Air Early A.M.","UPS Next Day Air Early A.M."
"UPS Next Day Air Saver","UPS Next Day Air Saver"
"UPS Saver","UPS Saver"
"UPS Second Day Air","UPS Second Day Air"
"UPS Second Day Air A.M.","UPS Second Day Air A.M."
"UPS Standard","UPS Standard"
"UPS Three-Day Select","UPS Three-Day Select"
"UPS Today Dedicated Courrier","UPS Today Dedicated Courrier"
"UPS Today Express","UPS Today Express"
"UPS Today Express Saver","UPS Today Express Saver"
"UPS Today Intercity","UPS Today Intercity"
"UPS Today Standard","UPS Today Standard"
"UPS Tube","UPS Tube"
"UPS Worldwide 10 kilo","UPS Worldwide 10 kilo"
"UPS Worldwide 25 kilo","UPS Worldwide 25 kilo"
"UPS Worldwide Expedited","UPS Worldwide Expedited"
"UPS Worldwide Express","UPS Worldwide Express"
"UPS Worldwide Express Plus","UPS Worldwide Express Plus"
"UPS Worldwide Express PlusSM","UPS Worldwide Express PlusSM"
"UPS type","UPS type"
"USPS","USPS"
"Unable to retrieve tracking","Kan ikke hente sporingsinformasjon"
"United Parcel Service","United Parcel Service"
