"-- Please Select --","-- בחר מהרשימה --"
"Account Registration","חשבון - הרשמה"
"All fields of script types have to be filled.","כל השדות של סוגי סקריפט צריכים להיות מלאים."
"Attributes","תכונות"
"Category View Optimization","התאמה של סקירת קטגוריה"
"Control Script","סקריפט שליטה"
"Conversion Page","דף המרות"
"Conversion Page URL","כתובת דף המרות"
"Conversion Script","סקריפט המרות"
"Enable","אפשר"
"Google Optimizer Scripts","סקריפט התאמה של Google"
"Google Website Optimizer","אופטימיזר אתרים של Google"
"Install Scripts","התקן סקריפטים"
"Limit is 8 attributes only.","Limit is 8 attributes only."
"Multi Address Checkout","צ'ק אאוט מרובה כתובת"
"One Page Checkout","צ'ק אאוט דף יחיד"
"Order Success (Multi Address Checkout)","הזמנה מוצלחת (צ'ק אאוט מרובה כתובות)"
"Order Success (One Page Checkout)","הזמנה מוצלחת (צ'ק אאוט דף יחיד)"
"Original Page","דף מקורי"
"Other","אחר"
"Page Type","סוג דף"
"Page View Optimization","התאמה של תצוגת עמוד"
"Please copy and paste this value to experiment edit form","אנא, העתק והדבק את הערך לטופס עריכה ניסיוני"
"Please select store view to see the URL","בחר בתצוגת חנות כדי לראות כתובת URL"
"Product View Optimization","התאמה של תצוגת מוצרים"
"Scripts Install URL","התקנת סקריפט כתובות URL"
"Shopping Cart","סל קניות"
"Tracking Script","סקריפט מעקב"
"Use Default","השתמש בברית המחדל"
"Use Default Values","השתמש בערכי ברירת מחדל"
"Variant Page","Variant דף"
